s1_ds9,s2_ds9,s3_ds9
0.017280472460634525,0.0143068547141694,0.013765944197010358
0.017155302599462303,0.014229585012086383,0.01371860000146035
0.017025210216649805,0.01429151089099263,0.013822759669429118
0.017044069396337302,0.014311775246461371,0.013918619728022845
0.01686183228696228,0.01428270317614884,0.013844031153804101
0.016804350353368542,0.014239340773805158,0.013906636231929132
0.01676235064633728,0.014280938527711347,0.014056958985835317
0.016880235704931024,0.014302395656617629,0.014191001661616583
0.01656843619321225,0.014281149855836362,0.014158000782710331
0.016712652892431044,0.014206690480836365,0.014323955372554055
0.016641505333837295,0.014285812258180135,0.014600371778804078
0.016595650646337244,0.014042810207398882,0.014526769630366575
0.016621486388524776,0.014087821144898878,0.01456665439599156
0.01690378414243101,0.01410754311755515,0.014772429200679067
0.01708214068539982,0.014089670656617594,0.014743367872554064
0.017055937853368577,0.014008050246461397,0.014717022950679037
0.01716571480649358,0.013990976418336406,0.014829697364741563
0.017347303185399787,0.014113479543336409,0.015106128614741574
0.017199774962743577,0.013941999269898886,0.015044318556147804
0.017211636681493586,0.013908573976930114,0.015132447364741557
0.01733537203305606,0.013987926808961378,0.01535004687646032
0.01740430416196235,0.013913609523805121,0.01538730058739779
0.01736552506039982,0.013850630422242632,0.01547403672021029
0.017415224083837312,0.013952184719117603,0.015599810450679066
0.017594875451024828,0.014007133547242598,0.015770417872554045
0.017453710802587338,0.01392201010974262,0.01573361191552281
0.0175302689080561,0.013903325930055135,0.015787401173335325
0.017449181212743588,0.013979253664430112,0.015864323341304047
0.017767733068212294,0.013880546340211389,0.015818219142085317
0.017490914904149814,0.013873333840211412,0.015756436524897825
0.017608304650243572,0.013906043996461406,0.015910746778804066
0.017717538243993556,0.014009926711305151,0.016037429591304067
0.017690296642431082,0.013893244582398908,0.01602097011864782
0.017662030040868547,0.013896185890992676,0.015953419630366568
0.017785342443212296,0.01403760835193013,0.016129919532710313
0.01788024918149357,0.014012567433961379,0.01611093144677283
0.017738160118993557,0.01395456284411764,0.016101985157710323
0.017649970861181072,0.0140291548363051,0.016242457716304087
0.01777728804868102,0.01411340014880514,0.01625275068505408
0.01786611373227477,0.014133754543336374,0.016286460841304095
0.017702335704931075,0.014122135500367623,0.016220123145991576
0.01783622720883734,0.014179768898805109,0.016506340138179098
0.0178944683221186,0.014247921144898881,0.01643818222802283
0.017779171837743576,0.01416162466052387,0.01643367529442913
0.017790174962743512,0.014278517140992625,0.01661508662255411
0.01788858248227485,0.014288786379273869,0.01686045381005412
0.017836121349462327,0.01431167993396136,0.016858446485835378
0.017683159337743552,0.014243243019898854,0.017125331935054146
0.01782818902524358,0.014514947316773837,0.017283727638179147
0.01780221578305603,0.014546782863648848,0.017432746778804187
0.017512413146337377,0.014498506301148845,0.017435457813960414
0.01748754547055606,0.014616494582398849,0.01754627675927292
0.017465728380712323,0.014730353273805064,0.017686396778804188
0.017416079064306034,0.014725911183961334,0.017645652052241688
0.017167773595556074,0.014652511965211322,0.017609596290522916
0.01706456490414981,0.01479392329333632,0.017753261524897937
0.017144827111181052,0.014753551125367583,0.01780244062646045
0.01684811080258729,0.014701540773805104,0.01770260586083543
0.016864643908056053,0.014750366750367588,0.0177833415053667
0.01692821549008731,0.014852905910523802,0.01781546621239794
0.016918027306493534,0.014841783254273822,0.01775200146630418
0.016680377501806044,0.014840913918336333,0.017581900001460437
0.016814600646337267,0.014920133742555058,0.017605568458491677
0.01683547379086852,0.014922774074586337,0.017488521388179166
0.01656556978696226,0.01490147807849257,0.017547208399897943
0.016444762462743498,0.014790717726930067,0.017438078810054172
0.016422458556493505,0.014844533351930068,0.017536878126460424
0.016260278771337268,0.014658831008180077,0.017450815528804176
0.015975810021337224,0.014547371535523808,0.01744579638817917
0.016067666954930986,0.01442867094958634,0.017670866505366697
0.01593730826352469,0.014421643215211392,0.017795863087397938
0.015781711779149693,0.01417483794177388,0.017932306153804187
0.01570796705258715,0.014128064894898859,0.01806969150536672
0.015797618517430983,0.013987658254273894,0.01823671572411674
0.015655718517430917,0.013929778664430136,0.01831121552880422
0.01565183189633717,0.013716923195680183,0.018309970704585482
0.015620991271337176,0.013713950246461382,0.018435038575679227
0.015623481408055894,0.013608929055055195,0.018463971192866715
0.015414012267430856,0.013499820265992658,0.018490270606929232
0.01526781871274335,0.013459591750367674,0.018585483985835503
0.015421266857274596,0.013504819387086416,0.018744831446772997
0.015191332677587106,0.013448541164430148,0.018679109864741722
