t,deg,mixed_signal
0.0,0.0,4.411255289820702
0.0005,0.18,4.3596754029594695
0.001,0.36,4.293343905437827
0.0015,0.54,4.172228321437602
0.002,0.72,4.035366446701018
0.0025,0.8999999999999999,3.9132901917588905
0.003,1.08,3.827410472974994
0.0035,1.26,3.7534600741003588
0.004,1.44,3.7422856178242614
0.0045000000000000005,1.6199999999999999,3.7010452503635447
0.005,1.7999999999999998,3.6604100400066684
0.0055,1.98,3.5905791504320614
0.006,2.16,3.46441554016492
0.006500000000000001,2.34,3.372519282235462
0.007,2.52,3.318032467919536
0.0075,2.6999999999999997,3.303808210043209
0.008,2.88,3.3189672208799976
0.0085,3.06,3.384003887187306
0.009000000000000001,3.2399999999999998,3.4671235158690905
0.0095,3.42,3.49374954580807
0.01,3.5999999999999996,3.5075542507417254
0.0105,3.78,3.462179405826294
0.011,3.96,3.3496669261812073
0.0115,4.14,3.1966889374215204
0.012,4.32,3.0369263606695975
0.0125,4.5,2.9194459397513404
0.013000000000000001,4.68,2.8221170259202566
0.0135,4.859999999999999,2.732889117538362
0.014,5.04,2.634319449801226
0.0145,5.22,2.541179586899592
0.015,5.3999999999999995,2.3885877425731157
0.0155,5.58,2.2309184478528663
0.016,5.76,2.075170264965041
0.0165,5.9399999999999995,1.8615587313061537
0.017,6.12,1.6800768592305517
0.0175,6.3,1.5413214491532456
0.018000000000000002,6.4799999999999995,1.4782845410568421
0.0185,6.66,1.4112059042529415
0.019,6.84,1.3860177606371973
0.0195,7.02,1.3519441441582338
0.02,7.199999999999999,1.2713475563496413
0.0205,7.38,1.1643522040685668
0.021,7.56,1.0216417475169648
0.021500000000000002,7.739999999999999,0.8568774572339479
0.022,7.92,0.714702946124813
0.0225,8.1,0.5861941469023493
0.023,8.28,0.4853165123061246
0.0235,8.459999999999999,0.4376164089363817
0.024,8.64,0.3718924516657806
0.0245,8.82,0.3186438632208249
0.025,9.0,0.18840992586230296
0.025500000000000002,9.18,0.05097174977433634
0.026000000000000002,9.36,-0.12358138889747906
0.0265,9.54,-0.317443808634631
0.027,9.719999999999999,-0.5115412740822513
0.0275,9.9,-0.6573831368644907
0.028,10.08,-0.7765935360872319
0.0285,10.26,-0.8806230686191688
0.029,10.44,-0.9437535435160134
0.029500000000000002,10.62,-1.0662920425219011
0.03,10.799999999999999,-1.1985743564636588
0.0305,10.98,-1.3678996022315935
0.031,11.16,-1.5615033033154493
0.0315,11.34,-1.7486121781581325
0.032,11.52,-1.929998056507596
0.0325,11.7,-2.06028201561945
0.033,11.879999999999999,-2.1664340414078618
0.0335,12.059999999999999,-2.214778843466678
0.034,12.24,-2.2218367412663036
0.0345,12.42,-2.2617046282079345
0.035,12.6,-2.294407350040061
0.035500000000000004,12.78,-2.35571803217825
0.036000000000000004,12.959999999999999,-2.440599541546898
0.0365,13.139999999999999,-2.546466308492109
0.037,13.32,-2.656976271613522
0.0375,13.5,-2.732585953236635
0.038,13.68,-2.7900339911407337
0.0385,13.86,-2.784949977183557
0.039,14.04,-2.8394801990843166
0.0395,14.219999999999999,-2.881383093182097
0.04,14.399999999999999,-2.972207854305367
0.0405,14.58,-3.1232814580447776
0.041,14.76,-3.29681685051627
0.0415,14.94,-3.504844163137929
0.042,15.12,-3.686278692108379
0.0425,15.299999999999999,-3.8289991776085195
0.043000000000000003,15.479999999999999,-3.9133693695076697
0.043500000000000004,15.66,-3.96178261565392
0.044,15.84,-3.950234426398404
0.0445,16.02,-3.981459493223082
0.045,16.2,-3.9604922463176657
0.0455,16.38,-3.9739231927417706
0.046,16.56,-4.014932806779445
0.0465,16.74,-4.022328782062895
0.047,16.919999999999998,-4.007351697552912
0.0475,17.099999999999998,-3.9863028439671035
0.048,17.28,-3.914412656982031
0.0485,17.46,-3.807519309238677
0.049,17.64,-3.7012443756313753
0.0495,17.82,-3.607988828564021
0.05,18.0,-3.588013997783097
0.0505,18.18,-3.6365722458747287
0.051000000000000004,18.36,-3.697506869278212
0.051500000000000004,18.54,-3.8072555060997053
0.052000000000000005,18.72,-3.918936526246769
0.0525,18.9,-3.996894508200025
0.053,19.08,-4.028711663965917
0.0535,19.259999999999998,-4.01601120174627
0.054,19.439999999999998,-4.007544842839528
0.0545,19.62,-3.970163644706902
0.055,19.8,-3.9822871650561695
0.0555,19.98,-3.9746692799362395
0.056,20.16,-3.985631361133141
0.0565,20.34,-3.946460429877509
0.057,20.52,-3.9171936085578105
0.0575,20.7,-3.8238654499913425
0.058,20.88,-3.6671507438030244
0.0585,21.06,-3.4943907083204717
0.059000000000000004,21.24,-3.2884415708835086
0.059500000000000004,21.419999999999998,-3.126725193370345
0.06,21.599999999999998,-2.9735575067858737
