t,sync_wavelet_extra,async_wavelet_extra
0.0,-0.0007838827419164299,0.0016549560447918434
0.0005,-0.0007838827203149202,0.0016549549544207487
0.001,-0.0007838822719947871,0.0016549326533988893
0.0015,-0.0007838778408653692,0.0016547156626838787
0.002,-0.0007838500685927504,0.001653379460594576
0.0025,-0.0007837259765832941,0.0016475344724774328
0.003,-0.0007833039622652681,0.0016282017957480067
0.0035,-0.0007821613430470304,0.001577919879715868
0.004,-0.0007796007439907194,0.0014722237328343975
0.0045,-0.0007746434410457897,0.001288767439931034
0.005,-0.0007658967875741688,0.0010209145286400394
0.0055,-0.0007509810844047393,0.0006864251826848345
0.006,-0.0007254319788729856,0.00032509126498721545
0.0065,-0.0006816844593686409,-1.0179888417512028e-05
0.007,-0.0006094242524565105,-0.00026060183508940557
0.0075,-0.0004984977872654589,-0.0003681255240518056
0.008,-0.0003442836365026339,-0.00029043737075915666
0.0085,-0.00015337349834974932,-2.481174243253577e-05
0.009,5.403686394357621e-05,0.0003754751949982776
0.0095,0.00024780763782089837,0.000811002638764967
0.01,0.00039684383848845556,0.0011725540926254426
0.0105,0.0004788266269743073,0.0013822150055558466
0.011,0.0004853816333164211,0.001413848174101165
0.0115,0.0004209384870953935,0.001284900513700724
0.012,0.0002982681013805952,0.0010326804067687695
0.0125,0.00013508376621863006,0.0006950162466669056
0.013,-4.6934607925142106e-05,0.0003050065097811106
0.0135,-0.00022315570960416482,-0.00010480959858884167
0.014,-0.0003697595832441265,-0.0004986960797390225
0.0145,-0.00046950394499355825,-0.0008389472658464716
0.015,-0.0005158468146785856,-0.0010901528464508958
0.0155,-0.0005129224750618655,-0.00122394006695712
0.016,-0.00047262970036816593,-0.0012244900068727094
0.0165,-0.0004119495476325864,-0.0010949912579668016
0.017,-0.0003514357832192362,-0.0008613142906712773
0.0175,-0.00031244989176359647,-0.0005674803132125334
0.018,-0.0003106952033507883,-0.00026228782588450113
0.0185,-0.00034783560225199134,1.593311237270604e-05
0.019,-0.00040728143630104337,0.000247075913992201
0.0195,-0.0004595596783593268,0.0004259449245644556
0.02,-0.0004764719103196719,0.0005526552815161361
0.0205,-0.0004461560956132669,0.0006249074879389807
0.021,-0.00037898212852665344,0.0006372618749219928
0.0215,-0.0002989900607357803,0.0005875358914081592
0.022,-0.000224415498404568,0.00048726881896827255
0.0225,-0.00014842308311991076,0.0003713246510591155
0.023,-3.3101334029997706e-05,0.0002996763528496385
0.0235,0.00017569979786111322,0.0003445391526696124
0.024,0.0005165750712934831,0.0005625620126742622
0.0245,0.0009800220064543242,0.0009635938835224636
0.025,0.001496356935823212,0.0014951981706513317
0.0255,0.0019563921245168087,0.0020559078625549893
0.026,0.0022568284085733737,0.002531813236254097
0.0265,0.0023443515233542824,0.0028349094632179822
0.027,0.002232205915543214,0.002922303747505819
0.0275,0.0019821341078338373,0.0027924862006675722
0.028,0.001667493712876167,0.00247215231092572
0.0285,0.0013421142762487135,0.0020085200558328433
0.029,0.0010300762115413881,0.0014683718196329258
0.0295,0.0007349763611297149,0.0009324173211027902
0.03,0.00045660558649337325,0.0004763417100184102
0.0305,0.00020308097414685906,0.0001452248616899633
0.031,-6.799199027996233e-06,-6.0796073789814806e-05
0.0315,-0.00014953520476270623,-0.00017713245015772987
0.032,-0.00020660958093263632,-0.0002465298950912137
0.0325,-0.00017299554224105165,-0.00029065288508024203
0.033,-6.076255884677138e-05,-0.00029924299584520384
0.0335,0.0001036442416463226,-0.00024180083908245523
0.034,0.000286496805760169,-9.276774308365165e-05
0.0345,0.0004538816625142865,0.00014531600505867263
0.035,0.0005756716989498119,0.00043367866619159316
0.0355,0.0006274180926570757,0.0007086676192853676
0.036,0.0005936664645837502,0.0009065653266302635
0.0365,0.0004736348610531454,0.0009883224028477122
0.037,0.0002852954809082743,0.0009509788391504147
0.0375,6.272896559110137e-05,0.0008215222871116479
0.038,-0.00015362353558602733,0.0006404134258811258
0.0385,-0.0003281811754829803,0.0004469386721180718
0.039,-0.0004365516536908195,0.00027335498866369693
0.0395,-0.00046592099201086547,0.00014521373102095877
0.04,-0.00041379845441585146,8.077939439600599e-05
0.0405,-0.0002888892317282818,8.665899854593425e-05
0.041,-0.00011255608390211622,0.00015395973076668055
0.0415,8.414599532676228e-05,0.0002612381824538346
0.042,0.0002699970373339305,0.000385127156526722
0.0425,0.0004252214910505497,0.0005123306007218269
0.043,0.0005471924665731774,0.0006444345287618522
0.0435,0.0006455994483692853,0.0007913736813547486
0.044,0.000729796648654468,0.0009566797617381434
0.0445,0.0007963777169672963,0.0011230075795278334
0.045,0.0008248300233761451,0.001247330201751036
0.0455,0.0007842731955065411,0.0012711385113328955
0.046,0.0006479879769052896,0.00114298679629582
0.0465,0.00040796253065563943,0.0008424058524042983
0.047,8.139711324279763e-05,0.00039150692710941313
0.0475,-0.0002943425722866926,-0.00015270601275097815
0.048,-0.0006747589795248639,-0.0007197738119958209
0.0485,-0.0010210022624760498,-0.0012468601127582964
0.049,-0.001305763652983358,-0.0016881522705618364
0.0495,-0.0015121221172055934,-0.00201246181923678
0.05,-0.0016304184726424992,-0.0021976215685856654
0.0505,-0.0016576405770973213,-0.0022292046612329523
0.051,-0.0015991495607095983,-0.0021038273319478225
0.0515,-0.0014695369630660072,-0.0018328762038756063
0.052,-0.0012908608131539942,-0.0014443580828347605
0.0525,-0.0010896324543776441,-0.0009836024379785745
0.053,-0.0008942699351539962,-0.0005121676706141512
0.0535,-0.0007321354275247199,-0.00010069831348211134
0.054,-0.0006240062471026479,0.00018710995073472215
0.0545,-0.0005766698015871803,0.0003142955833121883
0.055,-0.0005783771845826835,0.00028267059960235215
0.0555,-0.0006018299747925761,0.00012948040136739327
0.056,-0.0006141558729361981,-8.730968657493976e-05
0.0565,-0.0005878885975423569,-0.000303627135439279
0.057,-0.0005069211290250746,-0.0004570498628128866
0.0575,-0.0003667317919815533,-0.0004921560471621927
0.058,-0.00017310620189106451,-0.0003720023923256109
0.0585,5.7106530001075056e-05,-9.543667881684525e-05
0.059,0.00029481131328245203,0.000292322337785505
0.0595,0.000502054044100628,0.000709376280203176
0.06,0.0006421878933695528,0.0010668037666465217
0.0605,0.0006924432535741176,0.0013015743971498406
0.061,0.0006509693426729347,0.0013927576532422378
0.0615,0.0005339205277335543,0.0013541046992855302
0.062,0.0003656186372937893,0.0012132016496048926
0.0625,0.00016925498483940423,0.0009938846624756655
0.063,-3.6645505629243647e-05,0.0007113671631661196
0.0635,-0.00023664603882628463,0.00037784879226002036
0.064,-0.00041590514584787067,1.0675491707823941e-05
0.0645,-0.0005597638507377554,-0.00036286847482884245
0.065,-0.0006552981420720564,-0.0007059545000566315
0.0655,-0.0006934970307081096,-0.000977757685112658
0.066,-0.000671599113013299,-0.0011432448752533055
0.0665,-0.0005955357081625094,-0.0011838925908379413
0.067,-0.00048125110207342657,-0.0011037886613511536
0.0675,-0.0003528404457387938,-0.000927389944260736
0.068,-0.00023708586163390455,-0.0006909736966143659
0.0685,-0.0001569597782952175,-0.00043405075695046943
0.069,-0.0001275194941503909,-0.0001949541287185238
0.0695,-0.0001549848090914592,-8.722060270656388e-06
0.07,-0.00023664838273872862,9.746645067513755e-05
0.0705,-0.00035950943484103665,0.0001120714098491634
0.071,-0.0004990060510671101,4.4913930467027695e-05
0.0715,-0.000621592447771381,-7.499756737967251e-05
0.072,-0.0006926833176002394,-0.00020924289334307787
0.0725,-0.0006865242227934651,-0.00032085297802025056
0.073,-0.0005923306182473759,-0.0003802018130280481
0.0735,-0.00041432924909865973,-0.00036612575702628744
0.074,-0.00016862748740487527,-0.0002671250801513666
0.0745,0.00011882795693058494,-8.534897170557433e-05
0.075,0.0004130163825113694,0.00015991666855673256
0.0755,0.0006736018963122549,0.0004348905242153561
0.076,0.000864833983944816,0.0007012213888610422
0.0765,0.0009682275692107793,0.0009276778769299154
0.077,0.0009894818101215787,0.001096331520485268
0.0775,0.0009533456401076863,0.0012008451640863483
0.078,0.0008885937875348195,0.0012407446669894953
0.0785,0.0008126034631025176,0.0012171937594289582
0.079,0.0007250832382700054,0.0011323658656427213
0.0795,0.0006138087703882489,0.0009905526201267971
0.08,0.00046751344250758555,0.000798514838761249
0.0805,0.0002876438265666692,0.0005647504979206049
0.081,9.255831266733486e-05,0.00029921005568868517
0.0815,-8.736661689844711e-05,1.4792021209896595e-05
0.082,-0.000220305087142495,-0.00026952555070664246
0.0825,-0.0002832162118876156,-0.0005256552608887777
0.083,-0.00026697238914500363,-0.0007166096524352473
0.0835,-0.0001759447682793944,-0.0008033969077347342
0.084,-2.559081425388218e-05,-0.0007592599173070115
0.0845,0.0001585093665941207,-0.0005858597160618646
0.085,0.0003409316936378959,-0.0003210161351730289
0.0855,0.00048045996082126264,-2.9745593247344926e-05
0.086,0.0005406418619685819,0.00021944702661968308
0.0865,0.0005030829440055459,0.00038003162678137026
0.087,0.0003749417163955496,0.00043968080136948766
0.0875,0.00018471142267909724,0.0004138186555135556
0.088,-3.1224296012447774e-05,0.00032809022484155804
0.0885,-0.00024220152108621096,0.00020306565306990105
0.089,-0.00042909668108086793,4.96297109106009e-05
0.0895,-0.0005814872297179976,-0.00012576541905270124
0.09,-0.000691391790046104,-0.00031239264991629514
0.0905,-0.0007492441264297773,-0.0004891010472598632
0.091,-0.0007440833797940983,-0.0006238314687638718
0.0915,-0.0006667842639221197,-0.0006796739443353764
0.092,-0.0005144955085864876,-0.0006262377775711018
0.0925,-0.00029472871758455153,-0.0004519167371758309
0.093,-2.720725805918108e-05,-0.00017045147739687898
0.0935,0.00025835457267318185,0.00018240985821188423
0.094,0.0005283221510915702,0.0005597766283761857
0.0945,0.0007519312078163108,0.0009145726737891116
0.095,0.0009051719442778972,0.0012048334726793629
0.0955,0.0009711060938681689,0.0013942604064384112
0.096,0.0009392177351988388,0.0014532492520197239
0.0965,0.0008063175093913698,0.001363178314391741
0.097,0.0005786181249989883,0.0011213940988857236
0.0975,0.0002727678442359273,0.0007429701299312263
0.098,-8.503568555053186e-05,0.000259104047283356
