x,Sync,Async,Rod,Pos
-0.0006145080999990999,(-0.00031032840255437646-0.0028549719402215807j),(-0.0006114340499994123-3.538794357673373e-05j),(-0.0003162680483548582-0.0028558233929205415j),(5.939645800481723e-06+8.514526989608631e-07j)
-0.0033715080999988,(-0.0017150155957952162-0.0023271501260551737j),(-0.003342002949999116-7.242278244022676e-06j),(-0.0017208016903944873-0.0023287392998096877j),(5.786094599270898e-06+1.589173754513977e-06j)
-0.0028850080999993,(-0.001453280905821773-0.00029604240754775124j),(-0.002874231549999599+3.830593048944214e-06j),(-0.0014588221990515576-0.0002983442401383833j),(5.541293229784197e-06+2.301832590632021e-06j)
0.0008454919000002405,(0.0004007706574072918-0.0008444893100378691j),(0.0008677107999999461-6.391856372336551e-06j),(0.0003955615550514362-0.0008474675001896168j),(5.209102355855677e-06+2.9781901517476583e-06j)
-0.0017495080999996003,(-0.0009078321589606522-0.0020252077969431775j),(-0.0017164302999999042+2.4408150571554713e-05j),(-0.0009126269197866606-0.0020288153768182634j),(4.794760826008398e-06+3.6075798750856748e-06j)
-0.0027230080999997,(-0.0013607605895182098-0.0005225670275576309j),(-0.002723507950000009+3.9989936080462526e-05j),(-0.0013650653925718936-0.000526747103466361j),(4.304803053683684e-06+4.180075908729832e-06j)
-0.0014255080999996295,(-0.0006983884119708465-0.00022225570853493952j),(-0.0014398740499999303+2.4390885315640488e-05j),(-0.0007021353679364843-0.00022694235818317658j),(3.746955965637683e-06+4.686649648237008e-06j)
-0.00029000809999940027,(-0.00012033058657217325+0.0004317543110910809j),(-0.0003144379499996976+1.817489649287472e-05j),(-0.00012346060371586383+0.0004266349989679582j),(3.130017143690578e-06+5.119312123122694e-06j)
0.0018184919000004001,(0.0009288940851475489-0.0005898489678521646j),(0.001798843450000105-5.4700912956552e-06j),(0.0009264303690659432-0.0005953202078398626j),(2.4637160816058602e-06+5.471239987697904e-06j)
-0.0007765080999994002,(-0.0003879180837548288-0.0006411827041573405j),(-0.000776600449999709+1.1048706438150375e-05j),(-0.00038967664449999036-0.0006469195872866473j),(1.7585607451615713e-06+5.736883129306773e-06j)
