t,x,Sync,Async,Rod,Pos
0.0,-0.000614508099999,0.00024082345844734495,0.003704532837447824,0.00017109261959457315,6.97308388527719e-05
0.0005,-0.0033715080999988,-0.0017418855213346077,0.00034334282758386386,-0.001825757884073191,8.387236273858297e-05
0.001,-0.0028850080999993,-0.0014646081766698832,-0.0012923693665389173,-0.0015544120520563115,8.980387538642845e-05
0.0015,0.0008454919000002,0.0006557590622868132,0.0006128210236622956,0.0005688143032757546,8.694475901105847e-05
0.002,-0.0017495080999996,-0.0011688332008848242,-0.000961379182087367,-0.0012444080847287538,7.557488384392942e-05
0.0025,-0.0027230080999997,-0.001010624194901256,-0.0019776088003128065,-0.0010674314073862343,5.6807212484978336e-05
0.003,-0.0014255080999996,-0.0008114250303334111,-0.0010635700491336889,-0.0008439038857022856,3.247885536887467e-05
0.0035,-0.0002900080999994,-0.00013561797949552238,-0.0001041926627395049,-0.0001405892210912962,4.971241595773845e-06
0.004,0.0018184919000004,0.001091153719657661,0.0011942887982142887,0.0011141767115990593,-2.302299194139821e-05
0.0045000000000000005,-0.0007765080999994,-0.0007386268910262745,0.00027723173064940466,-0.0006898633164095455,-4.8763574616729e-05
0.005,0.0023049919000003,0.0013572159968155057,0.00223073198159488,0.0014269468356682775,-6.97308388527719e-05
0.0055,0.0027919919000004,0.0011678981366698288,0.002636742405814489,0.001251770499408412,-8.387236273858299e-05
0.006,-0.0006135080999994,-0.0003841228393293006,0.0008069438272503139,-0.0002943189639428721,-8.980387538642845e-05
0.006500000000000001,0.0014939919000003,0.0008803928167482163,0.0014738935489111292,0.0009673375757592749,-8.694475901105847e-05
0.007,0.0013314919000002,0.00024725772407953165,0.00117466881341403,0.00032283260792346125,-7.557488384392943e-05
0.0075,0.0013319919000004,0.0008635788519704942,0.001392115481826378,0.0009203860644554724,-5.6807212484978336e-05
0.008,-0.0001275080999993,-0.0002698831251860076,0.00047211694467794434,-0.00023740426981713292,-3.247885536887466e-05
0.0085,-0.0019115080999992,-0.0010344879347069414,-0.0007531283924540294,-0.0010295166931111673,-4.971241595773829e-06
0.009000000000000001,-0.0006145080999995,-0.00012593318374279783,-1.954355540443009e-05,-0.00014895617568419603,2.302299194139821e-05
0.0095,-0.0014255080999996,-0.0009220516754581955,-0.0010043349528389707,-0.0009708152500749244,4.876357461672899e-05
0.01,-0.001101008099999,-2.426568440143884e-06,-0.0017679458401801732,-7.215740729291587e-05,6.97308388527719e-05
0.0105,-0.0014255080999992,-0.0007688854950901669,-0.0020197620210538453,-0.0008527578578287499,8.387236273858297e-05
0.011,-0.0009385080999994,-0.0004913582022717151,-0.0013887154126730672,-0.0005811620776581436,8.980387538642843e-05
0.0115,0.0001969919000006,0.00033150908724592626,-0.000499738123530222,0.0002445643282348677,8.694475901105847e-05
0.012,-0.0028845080999992,-0.0017363332252006579,-0.0019937806544333206,-0.0018119081090445875,7.557488384392942e-05
0.0125,-0.0011005080999995,-0.00019937417122801087,-0.001055862512521121,-0.0002561813837129892,5.680721248497831e-05
0.013000000000000001,3.4491900000599646e-05,-8.142505336355903e-05,-5.00247709597109e-05,-0.0001139039087324337,3.247885536887467e-05
0.0135,0.0001964919000005,0.00010763204289176721,0.0006068905220376433,0.00010266080129599331,4.97124159577384e-06
0.014,0.0001964919000001,0.0002801536979130877,0.0010162808440888434,0.0003031766898544859,-2.302299194139821e-05
0.0145,-0.0019115080999999,-0.0013061268699250245,0.0002329391264021449,-0.0012573632953082957,-4.8763574616728996e-05
0.015,-0.0007760080999999,-0.0001832840236431615,0.0011190733602927181,-0.0001135531847903895,-6.97308388527719e-05
0.0155,-0.0012630080999995,-0.0008596018435144949,0.0007938244035586705,-0.0007757294807759119,-8.387236273858297e-05
0.016,-0.0019120080999991,-0.001033372858501829,-0.00023333040177445641,-0.0009435689831154005,-8.980387538642845e-05
0.0165,0.0008449919000006,0.0005558928352780874,0.0007949914096330133,0.0006428375942891459,-8.694475901105847e-05
0.017,0.0010074919000002,8.525770619277342e-05,0.0011125136176126983,0.00016083259003670287,-7.557488384392943e-05
0.0175,0.0001964919000005,0.0002958288692143307,0.0009415742908572432,0.00035263608169930897,-5.6807212484978336e-05
0.018000000000000002,-0.0020745080999993,-0.0012433831417868173,-0.0004611376573659406,-0.0012109042864179426,-3.247885536887467e-05
0.0185,-0.0020745080999996,-0.0011159879187493148,-0.0010930350128297917,-0.001111016677153541,-4.971241595773845e-06
0.019,-0.0001280080999999,0.00011731680094216746,-0.00014527313533491224,9.429380900076936e-05,2.3022991941398196e-05
0.0195,-0.0004520080999995,-0.00043530166078630634,-0.0002409314055205048,-0.0004840652354030352,4.876357461672898e-05
0.02,0.0058729919000008,0.003484573417530919,0.002474664889747626,0.0034148425786781466,6.97308388527719e-05
0.0205,0.0079814919000007,0.0039346145182956125,0.003776751378746966,0.003850742155557029,8.387236273858297e-05
0.021,0.0065219919000004,0.0032388917849853686,0.0037568492159029613,0.00314908790959894,8.980387538642845e-05
0.021500000000000002,0.0048999919000002,0.002683009099345523,0.0030574419636696525,0.002596064340334465,8.69447590110585e-05
0.022,0.0003584919000001,-0.000114833236657783,0.0008482670504490085,-0.00019040812050171246,7.557488384392943e-05
0.0225,0.0050619919000002,0.0028818758395855876,0.0036223921725311854,0.0028250686271006093,5.6807212484978336e-05
0.023,0.0048999919000002,0.002351324936465524,0.003858438476204394,0.0023188460810966496,3.247885536887467e-05
0.0235,0.0013314919000001,0.0006751320524192481,0.0021320500149582693,0.0006701608108234743,4.971241595773845e-06
