sync_wavelet2_x,sync_wavelet2_allan_var,async_wavelet2_x,async_wavelet2_allan_var
1670,1.4362600438335452e-08,1670,2.2171221996320944e-08
1680,1.6945858806044248e-08,1680,2.8403065559823868e-08
1690,1.572348193723984e-08,1690,3.168655802057534e-08
1700,1.2653066814646173e-08,1700,1.98422704362842e-08
1710,2.505702301396365e-08,1710,5.102658032903438e-08
1720,1.1493229785995853e-08,1720,1.8498296412912514e-08
1730,2.046075861989365e-08,1730,3.661487521012333e-08
1740,1.7304807554020018e-08,1740,3.247196274158419e-08
1750,1.48586710846599e-08,1750,2.3643385830845075e-08
1760,2.261042580663777e-08,1760,4.843841474443493e-08
1770,1.4388682616495611e-08,1770,2.2445216031562396e-08
1780,2.3409127735891986e-08,1780,4.595748051859772e-08
1790,1.2297073872900775e-08,1790,2.1807371799391533e-08
1800,1.5177150251044352e-08,1800,2.5157248984000836e-08
1810,2.0874771723999158e-08,1810,4.367471817799016e-08
1820,1.1268632922805087e-08,1820,1.8790063565607844e-08
1830,2.382043441711413e-08,1830,4.83164505890601e-08
1840,1.4701732027933312e-08,1840,2.390394448365758e-08
1850,1.9442444313794055e-08,1850,3.246968596296037e-08
1860,1.6642769449440626e-08,1860,3.373755268714868e-08
1870,1.3260136216237803e-08,1870,2.0185073351240603e-08
1880,2.4353931837894e-08,1880,5.114098041761211e-08
1890,1.1138166635355627e-08,1890,1.7704018058647413e-08
1900,1.9570437447863638e-08,1900,3.5186250532431565e-08
1910,1.5147340919594295e-08,1910,2.693441942928429e-08
1920,1.2481890192380421e-08,1920,1.9726618607735845e-08
1930,2.0903080523886276e-08,1930,4.319363781926401e-08
1940,1.3942279688144416e-08,1940,1.9433106949612697e-08
1950,2.400095827796932e-08,1950,4.337580622521134e-08
1960,1.262457551463857e-08,1960,2.0291964060764703e-08
1970,1.5181682022192982e-08,1970,2.133884988949218e-08
1980,1.9198808967194755e-08,1980,3.868584559136495e-08
1990,1.0924840148939045e-08,1990,1.6356361512042127e-08
2000,2.295585219562333e-08,2000,4.4957097785619556e-08
2010,1.2774142787889538e-08,2010,1.8070142196756874e-08
2020,1.6919393203210904e-08,2020,2.7536048621150424e-08
2030,1.5132715568603072e-08,2030,2.8681188702131594e-08
2040,1.3607165886632702e-08,2040,1.7346861144963553e-08
2050,2.378315745022319e-08,2050,4.6198588678539846e-08
2060,1.1260457436622548e-08,2060,1.662825073129115e-08
2070,2.0365045884109563e-08,2070,3.302380824158544e-08
2080,1.4182176819486606e-08,2080,2.385983564852099e-08
2090,1.156173929477011e-08,2090,1.675708481040317e-08
2100,2.010497746309556e-08,2100,4.195981251726594e-08
2110,1.2006329658601515e-08,2110,1.6517558311143313e-08
2120,2.1898267080515158e-08,2120,4.071340946272129e-08
2130,1.1959095341213419e-08,2130,1.8954511861517442e-08
2140,1.6103418118414418e-08,2140,2.249506651636656e-08
2150,1.8993991799960145e-08,2150,3.6079252263428765e-08
2160,1.1837472911779173e-08,2160,1.709049342019405e-08
2170,2.3754644055115715e-08,2170,4.510082915353759e-08
2180,1.284412614832352e-08,2180,1.8280108945526074e-08
2190,1.7044283662460393e-08,2190,2.704107986563194e-08
2200,1.4669711837467992e-08,2200,2.842791182058137e-08
2210,1.2694173432898657e-08,2210,1.7272551070130325e-08
2220,2.249434555968601e-08,2220,4.558806286149905e-08
2230,1.1555399446229477e-08,2230,1.7059149644844537e-08
2240,2.1771040704870554e-08,2240,3.6437588859382866e-08
2250,1.5001092527993696e-08,2250,2.375965514201845e-08
2260,1.3384990356069381e-08,2260,1.9808216828330123e-08
2270,2.0162422650871215e-08,2270,4.0769455834808404e-08
2280,1.2515501053217245e-08,2280,1.796808338407651e-08
2290,2.2452339318277193e-08,2290,4.1998100943105464e-08
2300,1.1053912588944994e-08,2300,1.8467990587989153e-08
2310,1.553117962028756e-08,2310,2.3275486597800157e-08
2320,1.8001676138049543e-08,2320,3.6911770512115815e-08
2330,1.2186348967775064e-08,2330,1.8688918666574444e-08
2340,2.4092481222962652e-08,2340,4.735928610249734e-08
2350,1.539559369970682e-08,2350,2.2838348528620273e-08
2360,1.921292772775282e-08,2360,3.282349437528258e-08
2370,1.4751175848576227e-08,2370,2.8458305542681513e-08
2380,1.3599431994003024e-08,2380,2.0681397773094908e-08
2390,2.26764875523788e-08,2390,4.843721902725425e-08
2400,1.104301719670412e-08,2400,1.938426792887848e-08
2410,2.1366507287528703e-08,2410,3.902776583697256e-08
2420,1.4623745298873672e-08,2420,2.7749234928441437e-08
2430,1.4684034663872753e-08,2430,2.3854091793771842e-08
2440,2.077485284062702e-08,2440,4.442849436403639e-08
2450,1.576161895541907e-08,2450,2.5189316131858052e-08
2460,2.5349792519672503e-08,2460,5.0217915618970904e-08
2470,1.2603845884520824e-08,2470,2.2033626157619763e-08
2480,1.763225144708206e-08,2480,2.9230804221367815e-08
2490,1.909200982433128e-08,2490,4.107591943341505e-08
2500,1.2138940926183456e-08,2500,2.1601259924861586e-08
2510,2.3021179545692495e-08,2510,4.853429524150126e-08
2520,1.436848952561618e-08,2520,2.5232731251732016e-08
2530,2.0294484871442367e-08,2530,3.586243656109053e-08
2540,1.5546621848599943e-08,2540,3.071418636893869e-08
2550,1.547583332044398e-08,2550,2.4374831162281094e-08
2560,2.459053653790943e-08,2560,5.260639832275753e-08
2570,1.2489238006111028e-08,2570,2.0432407486593943e-08
2580,2.209580304712907e-08,2580,4.124512125087278e-08
2590,1.4465061934063227e-08,2590,2.7362407193889337e-08
2600,1.4822418707484696e-08,2600,2.4036200717855958e-08
2610,1.831589235226008e-08,2610,4.0171594176312496e-08
2620,1.34145040178678e-08,2620,2.2056518588294652e-08
2630,2.4368085345403596e-08,2630,4.768517573472018e-08
2640,1.2260016776572537e-08,2640,1.9801560791478756e-08
2650,1.8211052077375818e-08,2650,2.80384983480983e-08
2660,1.899333886174496e-08,2660,3.88865467312876e-08
2670,1.2231160511368705e-08,2670,1.8757034757327574e-08
2680,2.3071541167606832e-08,2680,4.740770835960009e-08
2690,1.318962857074443e-08,2690,2.1782896919827336e-08
2700,2.0078910571269174e-08,2700,3.462075721495523e-08
2710,1.299139015751305e-08,2710,2.4801157401216057e-08
2720,1.3950240999313349e-08,2720,2.1093158426960274e-08
2730,2.234183687088125e-08,2730,4.719808121269663e-08
2740,1.2260964348765708e-08,2740,1.7972701051681218e-08
2750,2.3193056125657234e-08,2750,4.028576835127601e-08
2760,1.4848955758801438e-08,2760,2.5468982911128505e-08
2770,1.4828212651735162e-08,2770,2.1724095974717152e-08
2780,1.742895875119673e-08,2780,3.777094483877104e-08
2790,1.3261037546516574e-08,2790,2.1026096514353776e-08
2800,2.3328062028184365e-08,2800,4.660203043728681e-08
2810,1.1172626169221551e-08,2810,1.722805130699071e-08
2820,1.8295340428274647e-08,2820,2.8396137776075636e-08
2830,1.6530902413323692e-08,2830,3.363339579079065e-08
2840,1.2407706402945524e-08,2840,1.8252776984885924e-08
2850,2.478836095641429e-08,2850,4.828321566463953e-08
2860,1.367596186513836e-08,2860,2.149527311331017e-08
2870,2.079506795532434e-08,2870,3.435424973778364e-08
2880,1.2900778863190423e-08,2880,2.463523842210889e-08
2890,1.4292845842353497e-08,2890,2.1515005103233374e-08
2900,1.9856863596626708e-08,2900,4.405106649121696e-08
2910,1.1505976596333103e-08,2910,1.7454272431054897e-08
2920,2.3150543178837312e-08,2920,4.2552177769283664e-08
2930,1.3792237634191425e-08,2930,2.2793755147369777e-08
2940,1.596744718809468e-08,2940,2.363352207575228e-08
2950,2.011390152620219e-08,2950,4.0882860853753047e-08
2960,1.4030862974205834e-08,2960,2.1841479236007133e-08
2970,2.349542884544019e-08,2970,4.5993390838750645e-08
2980,1.1445940797081134e-08,2980,1.9637671755824073e-08
2990,1.938610079777183e-08,2990,3.096337300461914e-08
3000,1.4394604845645905e-08,3000,3.114659920855046e-08
3010,1.2343020079349413e-08,3010,1.9034105257276716e-08
3020,2.3853195858802657e-08,3020,5.056575497982226e-08
3030,1.4127841972548554e-08,3030,2.234831436420424e-08
3040,2.2306842524933653e-08,3040,3.815916917124852e-08
3050,1.5314655074247005e-08,3050,2.8993743892091625e-08
3060,1.6711096767417512e-08,3060,2.6140434845664258e-08
3070,2.1458223074875983e-08,3070,4.7052120065624535e-08
3080,1.1634872344560428e-08,3080,2.0924289182926074e-08
3090,2.576883890246557e-08,3090,4.843410540051062e-08
3100,1.2654599799321558e-08,3100,2.413998046070131e-08
3110,1.6625329945969867e-08,3110,2.6895570823497657e-08
3120,1.866520957151195e-08,3120,4.3607000720304935e-08
3130,1.548594481342439e-08,3130,2.5753468750675468e-08
3140,2.497219296246963e-08,3140,5.2032114919680464e-08
3150,1.4753956359269084e-08,3150,2.5811298411250045e-08
3160,2.2358351861762036e-08,3160,3.81009976679898e-08
3170,1.6252331953855086e-08,3170,3.601493962288727e-08
3180,1.320088791864311e-08,3180,2.3807056519682735e-08
3190,2.473848977693724e-08,3190,5.4364811608846164e-08
3200,1.3024960282588232e-08,3200,2.4085904253361412e-08
3210,2.2385159164125385e-08,3210,4.204548806554163e-08
3220,1.3557964553092169e-08,3220,2.94339834807729e-08
3230,1.7661372150422577e-08,3230,2.8567050303133878e-08
3240,2.0911783502309843e-08,3240,4.8709774209690204e-08
3250,1.516523746947611e-08,3250,2.603073451270212e-08
3260,2.647896216446897e-08,3260,5.168810416004427e-08
3270,1.4265047101968959e-08,3270,2.5767579994312284e-08
3280,1.6775104872505868e-08,3280,2.9102065886569784e-08
3290,1.8399971585537948e-08,3290,4.131148935541879e-08
3300,1.310303037148937e-08,3300,2.3093957810879686e-08
3310,2.3875672693679627e-08,3310,5.106576556356535e-08
3320,1.1723862026502669e-08,3320,2.162822164719617e-08
3330,2.273278726776264e-08,3330,3.76298039290391e-08
3340,1.4939566785642518e-08,3340,3.250082080939377e-08
3350,1.5216861698512164e-08,3350,2.4152188487302962e-08
3360,2.4146269660592343e-08,3360,5.2408537909464746e-08
3370,1.3633502579824641e-08,3370,2.243519024510521e-08
3380,2.2122789701066566e-08,3380,4.119309756203423e-08
3390,1.3344983230676527e-08,3390,2.4603980218120894e-08
3400,1.5169007695635718e-08,3400,2.396284718525327e-08
3410,1.914328632848721e-08,3410,4.42157578182031e-08
3420,1.1795900473462866e-08,3420,1.9516375017760972e-08
3430,2.5986021724473638e-08,3430,4.996046220464526e-08
3440,1.296908745498526e-08,3440,2.321261980337882e-08
3450,1.8931156330319972e-08,3450,2.8826073605969656e-08
3460,1.8063222776774505e-08,3460,3.866307739345732e-08
3470,1.3899519427587573e-08,3470,2.2235450831606182e-08
3480,2.3470915833110483e-08,3480,5.0867067765313855e-08
3490,1.1978915894235546e-08,3490,1.8653533697681702e-08
3500,2.125580318405495e-08,3500,3.563906843216389e-08
3510,1.3973099461633107e-08,3510,3.00433967326545e-08
3520,1.3175932683566749e-08,3520,1.9808584974784086e-08
3530,2.392758159428369e-08,3530,5.142556069692995e-08
3540,1.3141501884768845e-08,3540,2.316191134552957e-08
3550,2.4581714293174974e-08,3550,4.367903395196599e-08
3560,1.4184284223989776e-08,3560,2.442056960246346e-08
3570,1.675515298030793e-08,3570,2.528549050090044e-08
3580,1.8788423699252768e-08,3580,4.508293312173569e-08
3590,1.232499763889059e-08,3590,1.8293815120706962e-08
3600,2.488425951506939e-08,3600,4.9733572161487046e-08
3610,1.2194892436513612e-08,3610,2.205101720089348e-08
3620,1.7630873985921995e-08,3620,2.7217000039299217e-08
3630,1.8517743857722316e-08,3630,3.862011016664228e-08
3640,1.3729677641552911e-08,3640,2.262032775267264e-08
3650,2.6058102963806557e-08,3650,5.4613838483582594e-08
3660,1.3640166437383705e-08,3660,1.9950570018848183e-08
3670,2.258969447981869e-08,3670,3.730617329631874e-08
3680,1.2688223809611027e-08,3680,2.949714944198156e-08
3690,1.3684856923542012e-08,3690,1.97630518719569e-08
3700,2.172101658239774e-08,3700,5.0521862812931596e-08
3710,1.2403736868406116e-08,3710,2.2200504171215523e-08
3720,2.3362677761666904e-08,3720,4.5071153352668725e-08
3730,1.4144008216338465e-08,3730,2.493790920257104e-08
3740,1.7483974141998983e-08,3740,2.7047379461758945e-08
3750,2.1529917847403996e-08,3750,4.914487398918605e-08
3760,1.3230008772353201e-08,3760,2.1254349851376838e-08
3770,2.6517776302470358e-08,3770,5.274697714193678e-08
3780,1.2025684082818107e-08,3780,2.3811888027601365e-08
3790,1.867136142554355e-08,3790,3.0722736394262396e-08
3800,1.5777198109384035e-08,3800,3.818040651911264e-08
3810,1.4059061296341691e-08,3810,2.5707315697801294e-08
3820,2.3514807014098378e-08,3820,5.586609220539321e-08
3830,1.4437074073801272e-08,3830,2.447438788231705e-08
3840,2.4495363726573052e-08,3840,4.286056892868306e-08
3850,1.6542436468613557e-08,3850,3.556387236712905e-08
3860,1.5277261067709166e-08,3860,2.567011120943237e-08
3870,2.4017188084786816e-08,3870,5.4942322561716854e-08
3880,1.2219585355660548e-08,3880,2.4346992164657584e-08
3890,2.410769974014351e-08,3890,4.826881679007395e-08
3900,1.3418627301389597e-08,3900,2.688386474347913e-08
3910,1.7487745686344827e-08,3910,2.9763730330317446e-08
3920,1.8528303628864355e-08,3920,4.7776763209161305e-08
3930,1.3865127686647346e-08,3930,2.4237223006441377e-08
3940,2.7297595605268324e-08,3940,5.594288145570728e-08
3950,1.4693837126988116e-08,3950,2.6430755912329435e-08
3960,2.007704806966249e-08,3960,3.3363115588877646e-08
3970,1.7950552181582188e-08,3970,4.029989843154332e-08
3980,1.2723237348469047e-08,3980,2.334298097969589e-08
3990,2.2779371517890354e-08,3990,5.313551954367008e-08
4000,1.2518144118291385e-08,4000,2.1381538776674815e-08
4010,2.265590426222499e-08,4010,3.924154357131601e-08
4020,1.3269113241444769e-08,4020,2.941462925634385e-08
4030,1.508095080391044e-08,4030,2.2903202655050413e-08
4040,2.3058933648275167e-08,4040,5.303852617836412e-08
4050,1.3990559570479257e-08,4050,2.3081115659312705e-08
4060,2.3547050002837718e-08,4060,4.4039715864112276e-08
4070,1.399216271436665e-08,4070,2.474137493190766e-08
4080,1.6270138272678332e-08,4080,2.5000545560252897e-08
4090,1.7025803130656228e-08,4090,4.1748165766840607e-08
4100,1.2096321755152538e-08,4100,1.929465843640969e-08
4110,2.54905335940069e-08,4110,5.256954499761434e-08
4120,1.1146322008911115e-08,4120,1.857737760190946e-08
4130,1.9436403912502627e-08,4130,2.856601530824417e-08
4140,1.7262539530980926e-08,4140,3.8273790449824895e-08
4150,1.4275792650406224e-08,4150,2.225298243084871e-08
4160,2.1182114652249586e-08,4160,4.8937184766397974e-08
4170,1.3730665979758852e-08,4170,2.184902800791646e-08
4180,2.2484295518934106e-08,4180,3.8737463944910506e-08
4190,1.2553446060958999e-08,4190,2.5514753381512412e-08
4200,1.32872022672336e-08,4200,1.9267852638865224e-08
4210,2.172203765703574e-08,4210,5.1429641879092654e-08
4220,1.1704112121525325e-08,4220,1.870923499582098e-08
4230,2.4054706469238665e-08,4230,4.4135548371700504e-08
4240,1.4129535360577757e-08,4240,2.446776451527912e-08
4250,1.8686689652681698e-08,4250,2.6674402921783096e-08
4260,1.6056015827559504e-08,4260,3.9554613297718666e-08
4270,1.370028195645252e-08,4270,2.2389963540811772e-08
4280,2.474793108214312e-08,4280,5.3005844150277464e-08
4290,1.2332175098322951e-08,4290,2.05163244651978e-08
4300,1.9130172843559158e-08,4300,3.008244475632576e-08
4310,1.6403419206913634e-08,4310,3.6170273093099155e-08
4320,1.2308234619941191e-08,4320,1.9699467666751143e-08
4330,2.175551640743556e-08,4330,5.069761819666295e-08
4340,1.4256354792830516e-08,4340,2.3016426716292743e-08
4350,2.5326861388820377e-08,4350,4.159165484508292e-08
4360,1.261638680584299e-08,4360,2.5633196814872223e-08
4370,1.610862600340691e-08,4370,2.4285515826077144e-08
4380,2.0591312788748444e-08,4380,5.030710074414625e-08
4390,1.2628584424924699e-08,4390,2.2290370197317386e-08
4400,2.4685730401001094e-08,4400,4.916886377067253e-08
4410,1.4691396909899757e-08,4410,2.6143394932466935e-08
4420,1.769804256852481e-08,4420,2.6314534190537012e-08
4430,1.7366012526881316e-08,4430,4.281630347763241e-08
4440,1.428783804661676e-08,4440,2.458552897229183e-08
4450,2.633382821091142e-08,4450,5.5318583766444244e-08
4460,1.3288782462862655e-08,4460,2.3844577233604156e-08
4470,2.2018065583195793e-08,4470,3.602009295018077e-08
4480,1.6375054213927786e-08,4480,3.835933118787004e-08
4490,1.4808494951252925e-08,4490,2.553531491233895e-08
4500,2.3655562904832917e-08,4500,5.90798580187422e-08
4510,1.5107299460882568e-08,4510,2.877671160091737e-08
4520,2.607752547959114e-08,4520,4.65179472655884e-08
4530,1.5272656684179177e-08,4530,3.449810857512489e-08
4540,1.8518351781704833e-08,4540,3.033883454926765e-08
4550,2.3654504362138795e-08,4550,5.754845661291319e-08
4560,1.5048675039395526e-08,4560,2.953044863458499e-08
4570,2.689295792130783e-08,4570,5.5588511536769333e-08
4580,1.760706483357128e-08,4580,3.442324748440998e-08
4590,2.0577728196192494e-08,4590,3.3579204171743776e-08
4600,1.7957123567277456e-08,4600,4.957050239876241e-08
4610,1.5300862967892636e-08,4610,2.983355808022351e-08
4620,2.8538619191185738e-08,4620,6.377094131292163e-08
4630,1.4277178107241323e-08,4630,2.8401085342387117e-08
4640,2.462498331011711e-08,4640,3.90994665645586e-08
4650,1.8483474544094062e-08,4650,4.3507609822720295e-08
4660,1.578304135240098e-08,4660,2.710017211065165e-08
4670,2.1290472947886966e-08,4670,5.436838220735419e-08
4680,1.7088072788250605e-08,4680,2.9179388351692455e-08
4690,2.4533085687946752e-08,4690,4.3924904097556914e-08
4700,1.3875034187691719e-08,4700,2.8987621066108198e-08
4710,1.6804594120094373e-08,4710,2.3786747694884107e-08
4720,2.184709118002134e-08,4720,5.4270396554643007e-08
4730,1.2725000625494438e-08,4730,2.230268246104533e-08
4740,2.755398709830316e-08,4740,4.9320044757474084e-08
4750,1.5948393090957744e-08,4750,2.724193804320502e-08
4760,2.1883788123888516e-08,4760,2.961423977188013e-08
4770,1.2922865822940757e-08,4770,3.585232817969186e-08
4780,1.5546662594343615e-08,4780,2.1537341749957078e-08
4790,2.4086519671260467e-08,4790,5.3184957750765045e-08
4800,1.4005763515811844e-08,4800,2.1018407975062934e-08
