sync_x,sync_allan_var,async_x,async_allan_var,sync_kalman_x,sync_kalman_allan_var,async_kalman_x,async_kalman_allan_var,sync_wavelet_x,sync_wavelet_allan_var,async_wavelet_x,async_wavelet_allan_var,sync_average_x,sync_average_allan_var,async_average_x,async_average_allan_var
410,2.243276612362295e-08,410,3.260534744573235e-08,410,1.5851601993287516e-08,410,2.5331633966523488e-08,410,9.396391649684176e-09,410,1.6989011181209998e-08,410,1.4428104335074629e-08,410,2.3370814752559678e-08
420,2.943443116800958e-08,420,4.776898438796329e-08,420,2.452744574556487e-08,420,4.396574480065269e-08,420,1.6954191769189775e-08,420,3.2576033703983046e-08,420,2.148270174882373e-08,420,3.833406411075467e-08
430,2.6961797734421136e-08,430,4.207770452716992e-08,430,2.1053842701554615e-08,430,3.690509857395595e-08,430,1.394755596237829e-08,430,2.693381834710357e-08,430,1.880639984498017e-08,430,3.272967213219428e-08
440,2.3492482343812173e-08,440,3.504160252481662e-08,440,1.6612180292798585e-08,440,2.7025715913124796e-08,440,1.0184786540547581e-08,440,1.7977650731131237e-08,440,1.524129376522544e-08,440,2.5114179818423883e-08
450,3.603294505276802e-08,450,6.404380393393445e-08,450,3.148972138415709e-08,450,6.210900374934355e-08,450,2.2430463871288608e-08,450,4.647967582336077e-08,450,2.7279304881838365e-08,450,5.3040942768377196e-08
460,2.376469682236097e-08,460,3.2700027748541035e-08,460,1.7117633061740278e-08,460,2.4872753306256387e-08,460,1.1051166565268171e-08,460,1.6728646003122365e-08,460,1.5756415281672792e-08,460,2.3260446878862067e-08
470,3.1596211677077465e-08,470,5.4090911051905735e-08,470,2.667225771308813e-08,470,5.104703453123277e-08,470,1.8153641989352303e-08,470,3.7206228085687814e-08,470,2.307508806007549e-08,470,4.368895123581532e-08
480,2.2715213865321977e-08,480,3.5164765138471886e-08,480,1.6432358032322386e-08,480,2.8611474313689903e-08,480,1.0058270395592881e-08,480,1.929209375179555e-08,480,1.4684070712953905e-08,480,2.5537560414973017e-08
490,2.4643262270089063e-08,490,3.391125846571894e-08,490,1.8580250274856724e-08,490,2.7418610226176515e-08,490,1.2160280726225964e-08,490,1.889211337045737e-08,490,1.6689469125932185e-08,490,2.4768250127572368e-08
500,2.8341826042280193e-08,500,5.0514982260347726e-08,500,2.3769141329000393e-08,500,4.864847594628399e-08,500,1.6306376364925208e-08,500,3.626362684189092e-08,500,2.042450348679036e-08,500,4.112640311566217e-08
510,2.1691794177859178e-08,510,2.991541971122447e-08,510,1.4948572927764643e-08,510,2.2196373447320838e-08,510,8.667321376815988e-09,510,1.4130931705144253e-08,510,1.3588623764117674e-08,510,2.041989715717488e-08
520,3.289591581369937e-08,520,5.7735093413220074e-08,520,2.8966000711099385e-08,520,5.666621152910963e-08,520,2.0544956773097174e-08,520,4.253191075626794e-08,520,2.4840818952967396e-08,520,4.78527921707215e-08
530,2.2938141876409077e-08,530,3.059711770220652e-08,530,1.6525363925592637e-08,530,2.342325377868929e-08,530,1.0334057480705743e-08,530,1.5435676958276838e-08,530,1.507981418865994e-08,530,2.1518702516998633e-08
540,2.5501936131098137e-08,540,3.9065049688541514e-08,540,1.9619156028998105e-08,540,3.321046754738478e-08,540,1.2728322390493271e-08,540,2.28172560963794e-08,540,1.748551622690617e-08,540,2.9349010164097222e-08
550,2.9271567041592534e-08,550,4.774346086926738e-08,550,2.395029527151959e-08,550,4.3536985790491585e-08,550,1.6171453447988733e-08,550,3.0845903239562784e-08,550,2.115054972500732e-08,550,3.7691580547874115e-08
560,2.2426483963433204e-08,560,2.997393584674484e-08,560,1.632091626923036e-08,560,2.2677799913069037e-08,560,1.049945875749451e-08,560,1.4601143758417529e-08,560,1.495792560471719e-08,560,2.0984419980853167e-08
570,3.26063535739821e-08,570,5.811063973454496e-08,570,2.8939666750595446e-08,570,5.784358205998912e-08,570,2.0174636545060428e-08,570,4.2746942638647265e-08,570,2.4710348185592055e-08,570,4.841765496702401e-08
580,1.986754140669994e-08,580,2.801115963484593e-08,580,1.3722787761833016e-08,580,2.0791794378175954e-08,580,7.722046590447978e-09,580,1.2409596558582515e-08,580,1.2479576042586284e-08,580,1.8982011210323434e-08
590,2.833705515384035e-08,590,4.342005736893063e-08,590,2.4104326248546853e-08,590,4.052135543648388e-08,590,1.6569047521210633e-08,590,2.9112110215606197e-08,590,2.1003278321093718e-08,590,3.472257113022294e-08
600,2.1840650020331806e-08,600,3.367436311767754e-08,600,1.6793155571827645e-08,600,2.920508100172927e-08,600,1.063388876705911e-08,600,2.005152602525047e-08,600,1.4915944739691223e-08,600,2.5471110154760542e-08
610,2.0794125525963938e-08,610,2.7909028471356068e-08,610,1.5151593525371383e-08,610,2.159236041449183e-08,610,8.914994000704212e-09,610,1.3566597484246505e-08,610,1.3704084030772055e-08,610,1.9558491953477983e-08
620,3.090575738756092e-08,620,5.590431977763383e-08,620,2.7772669272788817e-08,620,5.565946430952831e-08,620,1.9558658268315567e-08,620,4.127848279678751e-08,620,2.384927982336087e-08,620,4.682313961743546e-08
630,2.137754640459759e-08,630,2.712277260485846e-08,630,1.5860966984634136e-08,630,2.0464522819701766e-08,630,9.913636554615611e-09,630,1.2950337024167557e-08,630,1.4632452509538068e-08,630,1.907323131278256e-08
640,2.9787486375844017e-08,640,5.0388116535448845e-08,640,2.6339578513435106e-08,640,4.921426124443917e-08,640,1.8332296231785868e-08,640,3.607364410872606e-08,640,2.2825698091494826e-08,640,4.17280977248537e-08
650,2.276766623704243e-08,650,3.310997782338325e-08,650,1.73438075868226e-08,650,2.66567412241739e-08,650,1.0731772277308805e-08,650,1.6836688495579056e-08,650,1.592806314213826e-08,650,2.4327737196857776e-08
660,2.343758217822109e-08,660,3.2780170756667106e-08,660,1.8878778312959234e-08,660,2.7663215981095727e-08,660,1.2675755230833206e-08,660,1.8785995209312696e-08,660,1.7159000735352456e-08,660,2.502033159902782e-08
670,2.772107118810799e-08,670,4.8020308193494514e-08,670,2.4456725082242664e-08,670,4.7025945241715436e-08,670,1.6938041501996014e-08,670,3.463252870696879e-08,670,2.1299198474975973e-08,670,3.992872107581416e-08
680,1.7445686755976596e-08,680,2.4031306494537083e-08,680,1.2617369610794112e-08,680,1.819990527722194e-08,680,7.201593107557067e-09,680,1.0796436927318042e-08,680,1.1628256660312773e-08,680,1.680579192305046e-08
690,3.1451950451552675e-08,690,5.5250302012637274e-08,690,2.9512382275887775e-08,690,5.636357185447699e-08,690,2.1041459932140575e-08,690,4.17923995826671e-08,690,2.5418965473738807e-08,690,4.7468774848537285e-08
700,1.798167549760957e-08,700,2.506414756585071e-08,700,1.3778135831765229e-08,700,2.0198588524087487e-08,700,8.597461374032831e-09,700,1.3096495872321937e-08,700,1.2685056267013216e-08,700,1.8564544006479684e-08
710,2.202416388960648e-08,710,3.34414974717089e-08,710,1.8658146357782122e-08,710,3.074341677025831e-08,710,1.2100347825038157e-08,710,2.1352578200032634e-08,710,1.6538149705780913e-08,710,2.6744835296710552e-08
720,2.3384527379880425e-08,720,4.190753289834865e-08,720,2.0121625406655164e-08,720,3.936700621224451e-08,720,1.3511862662376505e-08,720,2.783943092645347e-08,720,1.788481253682115e-08,720,3.4216650715343936e-08
730,2.046783868460761e-08,730,2.6792415191913465e-08,730,1.6457255899890875e-08,730,2.1852162208367906e-08,730,1.08106217763609e-08,730,1.4356567486711407e-08,730,1.5214174409504546e-08,730,2.0311151299447797e-08
740,2.9678710958463792e-08,740,5.459997333214974e-08,740,2.7970265766536038e-08,740,5.6100592857922756e-08,740,2.008488117582034e-08,740,4.219879167661431e-08,740,2.4190594881451583e-08,740,4.7209258348033945e-08
750,1.9525158631315356e-08,750,2.6472670336268075e-08,750,1.4971058886520866e-08,750,2.0524625959324872e-08,750,9.271071666214642e-09,750,1.2549247784688908e-08,750,1.4094513428064754e-08,750,1.9369323305733634e-08
760,2.74275564720983e-08,760,4.503208135781347e-08,760,2.5056666730118942e-08,760,4.376135855697148e-08,760,1.7971204574677608e-08,760,3.214385401081109e-08,760,2.2177509620665507e-08,760,3.798917157435745e-08
770,2.0667460061460813e-08,770,3.169071724513973e-08,770,1.7170626753883608e-08,770,2.838733941136091e-08,770,1.130592028796041e-08,770,2.00433164598807e-08,770,1.5596057214010168e-08,770,2.5240703174100878e-08
780,1.70278968663173e-08,780,2.3403054341936903e-08,780,1.3407622165353148e-08,780,1.916544094186823e-08,780,7.949452031037506e-09,780,1.1917236393414801e-08,780,1.2348804956805548e-08,780,1.754724511467273e-08
790,2.881543849445843e-08,790,5.357736139714894e-08,790,2.7238307678491695e-08,790,5.4591986461861733e-08,790,1.938095441700322e-08,790,4.026158530561647e-08,790,2.369732364344265e-08,790,4.638206348543595e-08
800,1.743912804174196e-08,800,2.398105672659098e-08,800,1.3972744127612635e-08,800,1.9925086975940462e-08,800,8.86171812705616e-09,800,1.3024358573755642e-08,800,1.3010031695176207e-08,800,1.851277575667256e-08
810,2.685331403868267e-08,810,4.6974472399483124e-08,810,2.537322964330998e-08,810,4.791426284348363e-08,810,1.7837445775056275e-08,810,3.571023839059454e-08,810,2.1914776024440503e-08,810,4.044798152122371e-08
820,1.7771776153050473e-08,820,2.776132667122032e-08,820,1.4140007417439343e-08,820,2.3297615306046107e-08,820,8.68900745323736e-09,820,1.49525537949737e-08,820,1.3128156012159024e-08,820,2.1391938019770206e-08
830,2.2130339100141737e-08,830,3.2076879175307194e-08,830,1.9035742307636063e-08,830,2.8522121650123513e-08,830,1.2957573004299215e-08,830,1.9570137240963893e-08,830,1.7352834606895358e-08,830,2.5856721730694446e-08
840,2.589348400330134e-08,840,4.6674505762618104e-08,840,2.3749519928290254e-08,840,4.65055752116974e-08,840,1.6765808690116425e-08,840,3.457412478420241e-08,840,2.092477221750524e-08,840,3.982961475456295e-08
850,1.812666892026687e-08,850,2.4518393551141447e-08,850,1.4225578476111433e-08,850,1.9483650928367078e-08,850,9.207927386623458e-09,850,1.2714110591403876e-08,850,1.337443112992591e-08,850,1.8356954255074412e-08
860,3.191277548634778e-08,860,5.8589074345641283e-08,860,3.060210879221284e-08,860,5.971902137411303e-08,860,2.241616247942538e-08,860,4.4831026822567474e-08,860,2.6692810295650668e-08,860,5.099253976285356e-08
870,1.8764898827784858e-08,870,2.5702877572497782e-08,870,1.5066381638535665e-08,870,2.1478779427202657e-08,870,9.610756053712011e-09,870,1.4392925188475332e-08,870,1.3972425272653871e-08,870,1.982627279323739e-08
880,2.1455441394997944e-08,880,3.40499015456623e-08,880,1.870562370305494e-08,880,3.1759674567338304e-08,880,1.2420134488691736e-08,880,2.2478689591238645e-08,880,1.6634260424367787e-08,880,2.7781616291152147e-08
890,2.2835262351133104e-08,890,3.9778011986072354e-08,890,2.000140575790305e-08,890,3.786593973772901e-08,890,1.3666987071962667e-08,890,2.719154581666515e-08,890,1.789630856800811e-08,890,3.320295178446436e-08
900,1.8764205853162787e-08,900,2.760847882841775e-08,900,1.5182231808865604e-08,900,2.3501003431636992e-08,900,9.733224783965679e-09,900,1.5918560231107547e-08,900,1.4070502263822011e-08,900,2.177325384193753e-08
910,2.9059762573742796e-08,910,5.505271252310296e-08,910,2.7643240998046572e-08,910,5.6824199904154924e-08,910,1.9836728305735768e-08,910,4.330743784183604e-08,910,2.37787258950102e-08,910,4.790278040686042e-08
920,1.7116009809634833e-08,920,2.476324554558444e-08,920,1.3231910991237933e-08,920,1.9824907439157093e-08,920,8.061273176578703e-09,920,1.2784615913264428e-08,920,1.239533512206312e-08,920,1.870734006102068e-08
930,2.8622742500397133e-08,930,4.81833461933857e-08,930,2.6335490254371112e-08,930,4.6796229919748186e-08,930,1.886358844294321e-08,930,3.462949231623319e-08,930,2.3329188911944917e-08,930,4.0969145730025197e-08
940,2.1368018536697012e-08,940,3.527096837816012e-08,940,1.7923086060734796e-08,940,3.214423054036536e-08,940,1.1995721993785421e-08,940,2.323533652399918e-08,940,1.6403265463317933e-08,940,2.8898841505235412e-08
950,2.0561605898962624e-08,950,2.9477593268716878e-08,950,1.673472701276494e-08,950,2.4577256587642744e-08,950,1.1383889056952286e-08,950,1.7563826969761664e-08,950,1.5523548262425315e-08,950,2.299381145454669e-08
960,3.0518638840181894e-08,960,5.757792602114982e-08,960,2.8533527907896133e-08,960,5.778214533030314e-08,960,2.0720372166892274e-08,960,4.3714831258081695e-08,960,2.5187038857697358e-08,960,4.999844995023604e-08
970,1.985260907326663e-08,970,2.992638160695375e-08,970,1.6107525164132326e-08,970,2.5462663668178774e-08,970,1.051051243857936e-08,970,1.7743288667190893e-08,970,1.49528606280974e-08,970,2.3777590422444515e-08
980,2.7987198300704678e-08,980,5.219997924829557e-08,980,2.6349412068547632e-08,980,5.267820505540445e-08,980,1.869646810746862e-08,980,3.981704195785885e-08,980,2.2831942555128513e-08,980,4.506153087518066e-08
990,1.8772216330737746e-08,990,2.9485142005638425e-08,990,1.5249486860855273e-08,990,2.5577323209534866e-08,990,9.843418600226423e-09,990,1.7870744927738104e-08,990,1.4122220385225313e-08,990,2.3705307742116612e-08
1000,2.225321610343869e-08,1000,3.648893269769884e-08,1000,1.914667065935895e-08,1000,3.316932233362987e-08,1000,1.3005414829917159e-08,1000,2.4189727194791094e-08,1000,1.7441561772364317e-08,1000,3.024976399026621e-08
1010,2.5087054887739963e-08,1010,4.774736794071735e-08,1010,2.3064147794406924e-08,1010,4.792722416869223e-08,1010,1.6446790499539485e-08,1010,3.6822648078399535e-08,1010,2.0206865348019822e-08,1010,4.133908504896838e-08
1020,1.680463234044081e-08,1020,2.6897122766357862e-08,1020,1.301582646092698e-08,1020,2.1975792505821534e-08,1020,8.086520793681661e-09,1020,1.5213357623371317e-08,1020,1.2330747004363682e-08,1020,2.1038924563583757e-08
1030,3.255154642639594e-08,1030,6.093605505990204e-08,1030,3.131413286038381e-08,1030,6.227983590344821e-08,1030,2.3157475630724962e-08,1030,4.804256995205977e-08,1030,2.7382263424827387e-08,1030,5.369030111983264e-08
1040,1.9127550711259985e-08,1040,3.092913032576578e-08,1040,1.5597378846170984e-08,1040,2.6861190674166535e-08,1040,1.0303489432742836e-08,1040,1.93643484807514e-08,1040,1.462335289779412e-08,1040,2.5147418692312554e-08
1050,2.4454932388613135e-08,1050,4.03385608162068e-08,1050,2.1694206506892086e-08,1050,3.7559504788758775e-08,1050,1.5543443132520367e-08,1050,2.8293379437538673e-08,1050,1.9605282660863867e-08,1050,3.37704563132737e-08
1060,2.429399292093908e-08,1060,4.390230001899729e-08,1060,2.158243338836212e-08,1060,4.194694605412419e-08,1060,1.5244259171809368e-08,1060,3.1464667776549444e-08,1060,1.969183178912929e-08,1060,3.765332972069889e-08
1070,2.04393704176775e-08,1070,3.272842178364654e-08,1070,1.7009657078796813e-08,1070,2.8471281543057152e-08,1070,1.1358548761067128e-08,1070,2.0485080373442533e-08,1070,1.58562505642866e-08,1070,2.672651393640058e-08
1080,2.861377476244565e-08,1080,5.7415624484432246e-08,1080,2.7724786326071427e-08,1080,5.954048691592451e-08,1080,2.006877063235183e-08,1080,4.5860883640023146e-08,1080,2.3970109806482734e-08,1080,5.07468445215873e-08
1090,1.7696893434006105e-08,1090,2.743047480569989e-08,1090,1.4250788622757936e-08,1090,2.2936610251415016e-08,1090,9.103590995805073e-09,1090,1.5864880287036075e-08,1090,1.3392923181706125e-08,1090,2.185152213398657e-08
1100,2.7406414703738074e-08,1100,4.9555817522838196e-08,1100,2.5936023469172323e-08,1100,4.9471501586610554e-08,1100,1.8780785657311347e-08,1100,3.775944343582029e-08,1100,2.284994297108314e-08,1100,4.324561094058231e-08
1110,1.9506239226271133e-08,1110,3.385664211093689e-08,1110,1.668200937128123e-08,1110,3.128658844021988e-08,1110,1.1162455919214252e-08,1110,2.3254352647591493e-08,1110,1.5193313268682497e-08,1110,2.8247549029286602e-08
1120,1.8321712120537878e-08,1120,2.9449759064768713e-08,1120,1.517045330642043e-08,1120,2.5266421276756956e-08,1120,9.802807865998877e-09,1120,1.768145046424333e-08,1120,1.4091016602604964e-08,1120,2.3696868133556768e-08
1130,2.9527636413298845e-08,1130,5.5597159126069624e-08,1130,2.8125751436608486e-08,1130,5.686820377386318e-08,1130,2.0445195346083555e-08,1130,4.367186961682995e-08,1130,2.481586186057922e-08,1130,4.9175462968882975e-08
1140,1.9047097165994763e-08,1140,2.989355638880683e-08,1140,1.579278560514446e-08,1140,2.5908093612325904e-08,1140,1.054589922495148e-08,1140,1.8570777296543425e-08,1140,1.4804748127972373e-08,1140,2.43623415016708e-08
1150,2.932137536935027e-08,1150,5.304722844126184e-08,1150,2.8097747635271484e-08,1150,5.390751406223046e-08,1150,2.045214101087454e-08,1150,4.0914577785341295e-08,1150,2.45965092760044e-08,1150,4.642794039519712e-08
1160,2.006325807920769e-08,1160,3.16462448476506e-08,1160,1.6730690500515646e-08,1160,2.7528265382080077e-08,1160,1.12290116693964e-08,1160,1.9353062209073845e-08,1160,1.567735677537838e-08,1160,2.5779190533360692e-08
1170,2.2858163508448756e-08,1170,3.684249095573906e-08,1170,2.0030120907542357e-08,1170,3.3845350018203574e-08,1170,1.379573534865869e-08,1170,2.4686671089216825e-08,1170,1.8195649017494655e-08,1170,3.0666783788226096e-08
1180,2.344573479021234e-08,1180,4.526462789077615e-08,1180,2.1556078459578216e-08,1180,4.5021556111520055e-08,1180,1.5013076470343133e-08,1180,3.368398908519529e-08,1180,1.893978700470184e-08,1180,3.884394740160537e-08
1190,1.7348696671542776e-08,1190,2.5808092813782875e-08,1190,1.3673563803086865e-08,1190,2.087348778411756e-08,1190,8.348597121309943e-09,1190,1.3425170991684945e-08,1190,1.2835672784031412e-08,1190,1.981974413545398e-08
1200,3.1067675041259236e-08,1200,5.820721290843805e-08,1200,3.0151988312951205e-08,1200,6.040741836322664e-08,1200,2.2177633415278003e-08,1200,4.6545702713636544e-08,1200,2.613283732890842e-08,1200,5.1426238683795295e-08
1210,1.7192130422624106e-08,1210,2.5312880230816033e-08,1210,1.3427358849957269e-08,1210,2.087779826286731e-08,1210,8.451117518915622e-09,1210,1.4635174491890306e-08,1210,1.2546116884254302e-08,1210,1.95138111747137e-08
1220,2.2878114966991174e-08,1220,3.784017946192645e-08,1220,2.032311729116722e-08,1220,3.5590961046663576e-08,1220,1.3744304353291981e-08,1220,2.5352736512378552e-08,1220,1.8005775444092244e-08,1220,3.1265262115410165e-08
1230,2.323088147944615e-08,1230,3.874524339719702e-08,1230,2.0082222944315424e-08,1230,3.643813420498108e-08,1230,1.3757771880629068e-08,1230,2.640412084924899e-08,1230,1.8222801490423358e-08,1230,3.2318773237722844e-08
