x,t,sync_wavelet2,async_wavelet2
-0.000614508099999,0.0,-0.0010261329521589616,0.001661278773065043
-0.0033715080999988,0.0005,-0.0009507683253252353,0.0006495185773350256
-0.0028850080999993,0.001,-0.0004673960663797259,0.00036099992943899433
0.0008454919000002,0.0015,-0.0010783442457548674,-0.0013004950463907062
-0.0017495080999996,0.002,-0.000672306930283833,-0.0009659981416042539
-0.0027230080999997,0.0025,-0.00016880196449021529,-0.00021467099716067204
-0.0014255080999996,0.003,-0.0004825646373374387,-0.0006087732579459692
-0.0002900080999994,0.0035,0.00019285247813453915,9.999632908848908e-05
0.0018184919000004,0.004,-1.161594041217515e-05,0.0001124928279186103
-0.0007765080999994,0.0045,0.0006496851882894529,0.0010874142198210248
0.0023049919000003,0.005,0.00019511940195900883,0.0010536346772422028
0.0027919919000004,0.0055,0.0008869106476074991,0.0022765475954526757
-0.0006135080999994,0.006,0.0010289980579214412,0.0023504213017023364
0.0014939919000003,0.0065,0.0008670560792745539,0.0019283024649657077
0.0013314919000002,0.007,-0.00013870383675191093,0.0008032741641485632
0.0013319919000004,0.0075,-8.057730824328018e-05,0.000648668705489946
-0.0001275080999993,0.008,-4.741787921099196e-06,0.00045832516442285336
-0.0019115080999992,0.0085,-0.00036378081401549413,-0.0002185120798513674
-0.0006145080999995,0.009,-0.0009109298134519796,-0.0011767857157215862
-0.0014255080999996,0.0095,-0.0005891900787286114,-0.0013357296561428084
-0.001101008099999,0.01,-0.00014735592417436047,-0.0010064928638075367
-0.0014255080999992,0.0105,-0.0007179597852766282,-0.0015755529489409447
-0.0009385080999994,0.011,-0.0008261632303506901,-0.0017708300920017575
0.0001969919000006,0.0115,-0.0010021426530454998,-0.001979125197890319
-0.0028845080999992,0.012,-0.0008701682412018852,-0.0015960203355609008
-0.0011005080999995,0.0125,-0.0011895516814838065,-0.0015273910936007503
3.4491900000599646e-05,0.013,-2.3676728889548417e-06,9.156407783086342e-05
0.0001964919000005,0.0135,-0.00011803822640372138,0.0005204425860071252
0.0001964919000001,0.014,-0.0003219699777193721,0.0004946971857775021
-0.0019115080999999,0.0145,-0.0007302825660498533,0.0001661674124514366
-0.0007760080999999,0.015,-0.0006538318640339144,0.0004552890059703659
-0.0012630080999995,0.0155,-0.0004671212491596191,0.0008263068783987985
-0.0019120080999991,0.016,-0.0011833937302477837,3.259288188922583e-05
0.0008449919000006,0.0165,-0.0007714980990108166,0.0002564534804149881
0.0010074919000002,0.017,-0.0003685428647833362,0.000454354160566419
0.0001964919000005,0.0175,-0.0004525936476178402,7.846504138728848e-05
-0.0020745080999993,0.018,-0.00011489840832766749,0.00026392804943074495
-0.0020745080999996,0.0185,-0.0001406156590422331,0.00010291035544507192
-0.0001280080999999,0.019,-9.265185819165198e-05,-8.041670422531818e-05
-0.0004520080999995,0.0195,0.0011162601963392643,0.0008790781029429511
0.0058729919000008,0.02,0.0016965236367251918,0.0013429777572987796
0.0079814919000007,0.0205,0.0023567022809085117,0.001924747860328739
0.0065219919000004,0.021,0.0023258720432221625,0.0024134366242572836
0.0048999919000002,0.0215,0.0028425555203509924,0.0037359309122762412
0.0003584919000001,0.022,0.0025496081555895513,0.0034268095592685285
0.0050619919000002,0.0225,0.001944005551598178,0.002652755060989562
0.0048999919000002,0.023,0.0014940343763952591,0.002370884907204823
0.0013314919000001,0.0235,0.001423164298753833,0.0024529192378877573
0.0031154919000004,0.024,0.001251980541567984,0.002037576622456203
0.0011699919000002,0.0245,0.0013988448346790843,0.0017998487892033723
0.0018184919000003,0.025,0.0004195827756644803,0.00044005792040838145
3.399190000059985e-05,0.0255,-0.00043758172509306245,-0.0009037601613798355
-0.0014250080999996,0.026,-0.00029380063871538656,-0.0006809240559977434
0.0003594919000002,0.0265,-0.0004747123680439037,-0.0005913745370162055
-0.0017490080999995,0.027,-7.489709982189729e-05,-5.531396338938178e-05
0.0001969919000005,0.0275,2.2893238494142742e-05,0.0002712112337265149
-0.0001275080999994,0.028,-0.00016612004047822734,-0.00015181305014895895
-0.0004520080999994,0.0285,0.0002122318423473095,-0.00017523947203128257
0.0014944919000003,0.029,0.0005315392313036141,-0.00014308286754338305
0.0001969919000001,0.0295,0.0005028351956618147,-0.000537781878862833
0.0014939919000001,0.03,0.0007221906200776942,4.040110575700222e-05
0.0006829919000001,0.0305,0.0007381879295286522,0.0006988263689052481
0.0011699919000001,0.031,0.0008027914295164206,0.0012939001704226388
0.0032784919000005,0.0315,0.000775753788275089,0.0019593451226940744
0.0003589919,0.032,0.0006011105397999606,0.0017645196512348887
0.0003589919000001,0.0325,0.0004987440191863211,0.001402799982179877
-0.0006145080999994,0.033,-0.00014296832398003588,0.0006992822191725903
-0.0020745080999997,0.0335,-0.000469812890185062,0.0002071458978646762
-0.0009390080999996,0.034,-0.0012040112191547484,-0.0005719779843890789
-0.0023980080999996,0.0345,-0.0009340353944479838,-0.00032328908825075185
-0.0001275080999998,0.035,-0.0007525768852103713,-0.00027386319032476447
-0.0004520080999995,0.0355,-0.0006581532023783074,-0.0003347712195049939
-0.0011005080999995,0.036,-0.00018050584364455655,7.577909467025614e-05
0.0013319919000002,0.0365,-0.0005943932236642935,-0.0003903067875047407
-0.0004525080999999,0.037,6.439017745720588e-05,0.00018747517792832912
0.0023044919,0.0375,0.0008969798282088543,0.0009431325975718082
0.0023049919000005,0.038,0.001013765472784562,0.0010677527217984064
-0.0002900080999994,0.0385,0.0008177400735468815,0.0009144867616242384
0.0024669919000005,0.039,0.0009350666038544433,0.0010749013416009008
0.0003584919000005,0.0395,0.0015108108680844858,0.001719215677985129
0.0016559919000002,0.04,0.0010813336475265748,0.001402965076591863
0.0037649919000001,0.0405,0.0006487545683203433,0.0011145898661805936
0.0024674919000003,0.041,0.00011590664653382353,0.0007504012124922388
0.0014939919000003,0.0415,0.000998668829973013,0.0018314733771853978
-0.0023985080999996,0.042,0.0002072797088566801,0.000832393571833073
-0.0012630080999996,0.0425,0.00019553101974655144,0.0004566863219522381
-0.0014250080999995,0.043,-0.0001783938075534029,-0.0002328040547806971
-0.0028850080999993,0.0435,-0.0011906808680839038,-0.0016562859577170966
-0.0006145080999995,0.044,-0.001334260850190506,-0.0018825422809732651
-0.0022360080999996,0.0445,-0.0013686479649424083,-0.0018995108741287222
-0.0032090080999993,0.045,-0.0024497185305773165,-0.0030759352701780042
-0.004993008099999,0.0455,-0.0025904367418102775,-0.003278299215693275
-0.0061280080999991,0.046,-0.002082966915788246,-0.002728239290178767
-0.002235508099999,0.0465,-0.0018834032419993987,-0.0024378787924666493
-0.0017495080999996,0.047,-0.001630124772734627,-0.002064300354681282
-0.0015875080999997,0.0475,-0.0006419209751645031,-0.0009096152959415511
-0.0012625080999991,0.048,-0.0006668029494621071,-0.0005360281071885502
-0.0020730080999994,0.0485,-0.00042199376090447686,0.00023072569777453058
-0.0012625080999998,0.049,-0.00040380339218144676,0.0008088981804371095
-0.0015870081,0.0495,0.00010022869380828847,0.0019715245392256256
0.0006834919000001,0.05,-2.280365361248047e-05,0.0015668373595486833
-0.0001275080999993,0.0505,-0.0005940615400895342,0.000364089979321035
-0.0020735080999995,0.051,-0.000799357691836141,-0.00032977325235034554
-0.0015870080999995,0.0515,-0.0013131939766037517,-0.0015348631440278964
-0.0040200080999994,0.052,-0.00017143439985092845,-0.00047808360207233776
-0.0012635080999996,0.0525,-0.0006646121268738186,-0.0008781212680054175
0.0006829919000006,0.053,-0.00022915341254889468,-0.0005843416848642834
0.0005209919000006,0.0535,-0.00023112874096004916,-0.0006802436543411795
0.0003584919000005,0.054,0.0005652935971266078,0.00030839505887575214
-0.0001280080999995,0.0545,0.0007309198605185686,0.0007855033477947126
0.0029534919000003,0.055,0.0009224827900540748,0.0013237767453213392
0.0027914919000004,0.0555,0.0009381634175595001,0.0017873464383201898
0.0016559919000002,0.056,0.0016734670659759923,0.0026232093708789895
0.0023049919000003,0.0565,0.0007356417460474372,0.001689299429859012
0.0010074919000002,0.057,0.0005745122845196648,0.0016520777715521451
0.0010074919,0.0575,0.0004679775200753778,0.0016384400842368245
-0.0014250080999995,0.058,-4.396386643277676e-05,0.0009518157317347131
-0.0020740080999997,0.0585,-0.00079257268389667,-8.715673419924525e-05
0.0008454919000002,0.059,-0.0006665256050218803,-0.00027108407266500053
-0.0012630080999995,0.0595,-0.0011320934033889345,-0.0011375140225760368
-0.0020740080999992,0.06,-0.0005147639577830064,-0.0007043325788604878
