x,t,sync_kalman,async_kalman,sync_wavelet,async_wavelet,sync_average,async_average
-0.000614508099999,0.0,-0.0009885567465190332,0.0009185020994975666,-0.0007838827419166313,0.001654956044792185,0.0002408234584473,0.0037045328374478
-0.0033715080999988,0.0005,-0.0008502448785725333,-0.00011206850509763331,-0.0007612319172225568,0.0005116190838569637,-0.00075053103144365,0.0020239378325157997
-0.0028850080999993,0.001,-0.0006592274384226001,-0.0005469758416546668,-0.0007441506793274774,-5.957994719932485e-06,-0.0016032468490022,-0.00047451326947754995
0.0008454919000002,0.0015,-0.0005078994444997334,-0.0007753889862459666,-0.0007430561684319199,4.835017155056048e-05,-0.0004044245571915,-0.00033977417143835
-0.0017495080999996,0.002,-0.0009969608087064667,-0.0013341860105112334,-0.0007109832039600557,-0.0004034747511405764,-0.00025653706929900006,-0.00017427907921255004
-0.0027230080999997,0.0025,-0.0006525557349100333,-0.0010484571707286333,-0.0006563534980968433,-0.0010943425023522383,-0.001089728697893,-0.00146949399120005
-0.0014255080999996,0.003,4.803690327623336e-05,8.842028780366697e-06,-0.000513451402731436,-0.0011652079088223988,-0.0009110246126173,-0.0015205894247232
-0.0002900080999994,0.0035,7.230294971196669e-05,0.00045577595537470004,-0.0002676102875141959,-0.0006804339823005623,-0.00047352150491445,-0.0005838813559365499
0.0018184919000004,0.004,0.0005699142751489668,0.0012340841701528,4.549980253532622e-05,0.0001015566099075248,0.00047776787008105005,0.00054504806773735
-0.0007765080999994,0.0045,0.0005954957474863667,0.0017149020393528666,0.0004486334714956557,0.001370906294142768,0.00017626341431570004,0.0007357602644318
0.0023049919000003,0.005,0.0007136637647186668,0.0018914727382198335,0.000676829761888735,0.002011124291928937,0.00030929455289465004,0.0012539818561221
0.0027919919000004,0.0055,0.0005547227046962333,0.0016391932606586001,0.0007064543703371898,0.0019402239381375492,0.0012625570667426501,0.0024337371937046
-0.0006135080999994,0.006,0.00024784256716613336,0.0011518353965251332,0.0006850262966892056,0.0018485331432663845,0.00039188764867024994,0.00172184311653235
0.0014939919000003,0.0065,0.0006637431309327,0.001346892614717133,0.0005409132509506488,0.0014556567251148146,0.00024813498870945004,0.0011404186880806999
0.0013314919000002,0.007,0.0002803178169546333,0.0010129670799727333,0.0003909132763693347,0.0011282008753518212,0.00056382527041385,0.0013242811811625499
0.0013319919000004,0.0075,-0.00014693073597416665,0.0003703680113500667,0.0002465209431783673,0.0009340104111206672,0.00055541828802495,0.00128339214762015
-0.0001275080999993,0.008,8.634524524239132e-05,0.0007504696262242323,-1.2230336361879779e-05,0.00046364741284775536,0.0002968478633922,0.0009321162132521
-0.0019115080999992,0.0085,-0.0007121900836397895,-0.0003231047149263458,-0.0003616389110421751,-0.00019631689112451414,-0.00065218552994645,-0.00014050572388805
-0.0006145080999995,0.009,-0.0004826320887617825,-0.0003317531109146611,-0.0005733244831144517,-0.0006931102902094214,-0.0005802105592248,-0.0003863359739292151
-0.0014255080999996,0.0095,-0.0008277741029236569,-0.0008945392012186871,-0.0006434118174967434,-0.0010528698570600075,-0.0005239924296004,-0.000511939254121665
-0.001101008099999,0.01,-0.0003730899889209068,-0.0016172377487952041,-0.0006663187538868576,-0.001386587178351182,-0.0004622391219491219,-0.0013861403965094998
-0.0014255080999992,0.0105,-0.000616876802432831,-0.002072652059264625,-0.0005843489645891235,-0.0016175756704128372,-0.0003856560317651219,-0.0018938539306169499
-0.0009385080999994,0.011,-0.0005608382623493577,-0.0018056830225599329,-0.0005170435182839826,-0.0016633070089285263,-0.0006301218486809001,-0.0017042387168633999
0.0001969919000006,0.0115,1.3542632228167456e-05,-0.0010231359886493391,-0.0004701290091861081,-0.001503911123282972,-7.992455751290001e-05,-0.0009442267681016
-0.0028845080999992,0.012,-0.0010510695992613343,-0.0015869769080224673,-0.00033448235335110834,-0.0011109960912564305,-0.00070241206897735,-0.00124675938898175
-0.0011005080999995,0.0125,-0.0006000880932379744,-0.001278903865349239,-0.0001330427930908897,-0.00044361071778098774,-0.0009678536982143,-0.0015248215834772001
3.4491900000599646e-05,0.013,-0.0002605542478024454,-0.0004570128375091171,-8.574946555689716e-05,-1.201886641316599e-05,-0.00014039961229577952,-0.0005529436417404055
0.0001964919000005,0.0135,2.8114514160369075e-05,0.00036466763046922874,-0.0001979527460566269,0.00016349770614458798,1.3103494764070486e-05,0.0002784328755389446
0.0001964919000001,0.014,0.0002620256425479732,0.000981410540496331,-0.00037875559578630635,0.00037582633528966593,0.00019389287040235,0.0008115856830632
-0.0019115080999999,0.0145,-0.0006861441808240397,0.0006944215167969469,-0.0006846532609976395,0.0005021816031506094,-0.000512986586006,0.00062460998524545
-0.0007760080999999,0.015,-0.00044745212007892313,0.001050634098393399,-0.0007738937054381403,0.0006357555314758758,-0.00074470544678405,0.0006760062433474
-0.0012630080999995,0.0155,-0.0007357088856390867,0.0009805511465799837,-0.0006182490836641457,0.0007974028332400145,-0.00052144293357875,0.00095644888192565
