Time,Mixed Signal
0.0,0.0
0.0005,0.8460217468440862
0.001,1.3715349798529275
0.0015,1.5131861494961203
0.002,1.4312023477132476
0.0025,1.2854283174142982
0.003,1.1125969411892465
0.0035,0.8774084434758024
0.004,0.5561188875105699
0.0045000000000000005,0.16596832710488557
0.005,-0.24144545196099415
0.0055,-0.6115498941756606
0.006,-0.9239732721834274
0.006500000000000001,-1.1769788553300848
0.007,-1.3316832605254894
0.0075,-1.3221561300796496
0.008,-1.1398756449144085
0.0085,-0.8507129169676577
0.009000000000000001,-0.4999575912775215
0.0095,-0.06595245654815683
0.01,0.4461389955329528
0.0105,0.9251957633188389
0.011,1.2307147966245604
0.0115,1.3125849764871782
0.012,1.2106069750011863
0.0125,0.9807106781186549
0.013000000000000001,0.6739490071306256
0.0135,0.3472524111377071
0.014,0.035067011219417174
0.0145,-0.26677973193126303
0.015,-0.5461389955329531
0.0155,-0.733884931076728
0.016,-0.765824216566455
0.0165,-0.6677031144199186
0.017,-0.544680337217405
0.0175,-0.49784386992035157
0.018000000000000002,-0.5528727216063232
0.0185,-0.6242798885321096
0.019,-0.54180853566055
0.0195,-0.18828749344922377
0.02,0.3414454519609934
0.0205,0.7752904167573098
0.021,0.9096629203334091
0.021500000000000002,0.7824289441490829
0.022,0.5719590409425668
0.0225,0.3931503263483932
0.023,0.2533536344185648
0.0235,0.14665123812876346
0.024,0.09424682799104848
0.0245,0.09523699701810599
0.025,0.09999999999999916
0.025500000000000002,0.046184359219201734
0.026000000000000002,-0.09424682799105295
0.0265,-0.2880725943660749
0.027,-0.453353634418565
0.0275,-0.5345716825857022
0.028,-0.571959040942565
0.0285,-0.6410075879117717
0.029,-0.7096629203334078
0.029500000000000002,-0.6338690605199957
0.03,-0.3414454519609934
0.0305,0.04686613721191631
0.031,0.3418085356605495
0.0315,0.4828585322948
0.032,0.5528727216063228
0.0325,0.6392652261576595
0.033,0.7446803372174015
0.0335,0.8091244706572249
0.034,0.7658242165664526
0.0345,0.5924635748394175
0.035,0.3461389955329514
0.035500000000000004,0.1253583756939528
0.036000000000000004,-0.03506701121941906
0.0365,-0.20583105490039577
0.037,-0.47394900713062316
0.0375,-0.8392893218813421
0.038,-1.2106069750011834
0.0385,-1.4540063327244843
0.039,-1.430714796624561
0.0395,-1.0666171195561476
0.04,-0.4461389955329552
0.0405,0.20737381278546568
0.041,0.6999575912775237
0.0415,0.9921342732049672
0.042,1.1398756449144065
0.0425,1.1807347738423375
0.043000000000000003,1.1316832605254874
0.043500000000000004,1.035557499092771
0.044,0.9239732721834266
0.0445,0.7529712504129731
0.045,0.441445451960999
