0	4.57E+00	5.01E+00
0.0021	4.56E+00	5.00E+00
0.0042	4.54E+00	5.04E+00
0.0063	4.52E+00	5.09E+00
0.0083	4.53E+00	5.11E+00
0.0104	4.53E+00	5.13E+00
0.0125	4.55E+00	5.13E+00
0.0146	4.56E+00	5.12E+00
0.0167	4.56E+00	5.08E+00
0.0188	4.55E+00	5.05E+00
0.0208	4.53E+00	5.05E+00
0.0229	4.49E+00	5.06E+00
0.025	4.47E+00	5.07E+00
0.0271	4.47E+00	5.10E+00
0.0292	4.46E+00	5.11E+00
0.0313	4.47E+00	5.09E+00
0.0333	4.49E+00	5.07E+00
0.0354	4.50E+00	5.01E+00
0.0375	4.49E+00	4.98E+00
0.0396	4.48E+00	4.96E+00
0.0417	4.51E+00	4.94E+00
0.0438	4.55E+00	4.95E+00
0.0458	4.56E+00	4.98E+00
0.0479	4.57E+00	5.00E+00
0.05	4.57E+00	5.01E+00
0.0521	4.56E+00	5.00E+00
0.0542	4.54E+00	5.04E+00
0.0563	4.52E+00	5.09E+00
0.0583	4.53E+00	5.11E+00
0.0604	4.53E+00	5.13E+00
0.0625	4.55E+00	5.13E+00
0.0646	4.56E+00	5.12E+00
0.0667	4.56E+00	5.08E+00
0.0688	4.55E+00	5.05E+00
0.0708	4.53E+00	5.05E+00
0.0729	4.49E+00	5.06E+00
0.075	4.48E+00	5.07E+00
0.0771	4.47E+00	5.10E+00
0.0792	4.46E+00	5.11E+00
0.0813	4.47E+00	5.09E+00
0.0833	4.49E+00	5.07E+00
0.0854	4.50E+00	5.02E+00
0.0875	4.49E+00	4.98E+00
0.0896	4.48E+00	4.96E+00
0.0917	4.51E+00	4.95E+00
0.0938	4.54E+00	4.95E+00
0.0958	4.56E+00	4.98E+00
0.0979	4.57E+00	5.00E+00
0.1	4.57E+00	5.01E+00
0.1021	4.56E+00	5.00E+00
0.1042	4.54E+00	5.04E+00
0.1063	4.52E+00	5.09E+00
0.1083	4.53E+00	5.11E+00
0.1104	4.53E+00	5.13E+00
0.1125	4.55E+00	5.13E+00
0.1146	4.56E+00	5.12E+00
0.1167	4.56E+00	5.08E+00
0.1188	4.55E+00	5.05E+00
0.1208	4.53E+00	5.05E+00
0.1229	4.49E+00	5.06E+00
0.125	4.47E+00	5.07E+00
0.1271	4.47E+00	5.10E+00
0.1292	4.46E+00	5.11E+00
0.1313	4.47E+00	5.09E+00
0.1333	4.49E+00	5.07E+00
0.1354	4.50E+00	5.01E+00
0.1375	4.49E+00	4.98E+00
0.1396	4.48E+00	4.96E+00
0.1417	4.51E+00	4.94E+00
0.1438	4.54E+00	4.95E+00
0.1458	4.56E+00	4.98E+00
0.1479	4.57E+00	5.00E+00
0.15	4.57E+00	5.01E+00
