t,x,res,IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9,IMF10,IMF11
0.0,-0.000614508099999,-1.0842021724855044e-19,0.0007580452582675971,-8.824016578668007e-05,0.00022214324194973277,-0.001017021764176427,0.00029437950343992917,-0.0010368029414593212,1.0652525785109679e-05,0.0004025737012413229,0.00033052586437596926,3.0260415601606674e-07,-0.0004910659277922488
0.0005,-0.0033715080999988,4.336808689942018e-19,-0.001943644791755411,-0.00016216825317964868,0.00022550988101562649,-0.001052802350759504,0.00040430323767458933,-0.0010954028884466297,1.1629232609948804e-05,0.00040101586859886217,0.00033080627250905726,2.7156590857168326e-07,-0.0004910258741742625
0.001,-0.0028850080999993,8.673617379884035e-19,-0.0016054882622430285,1.0804331638032457e-05,8.550302381692914e-05,-0.001000491252551254,0.0005210252685275416,-0.0011487529803074562,1.2567856377699565e-05,0.0003994847699407561,0.00033108441673644856,2.4054400896633726e-07,-0.0004909858159439357
0.0015,0.0008454919000002,-4.336808689942018e-19,0.0019166379806511875,0.00020105476846106826,-9.649884934448664e-05,-0.0008724742422543393,0.0006412033479463031,-0.001196504712627561,1.346902050967652e-05,0.0003979805095494585,0.00033136029178526766,2.0953851613081587e-07,-0.0004909457531925052
0.002,-0.0017495080999996,-4.336808689942018e-19,-0.0008145098485769258,0.00018953973462426836,-0.00021310620908847553,-0.0006856006755345918,0.0007607351835737903,-0.0012383095809927046,1.4333348427193967e-05,0.0003965031917074224,0.00033163389238263823,1.785494889983106e-07,-0.0004909056860112135
0.0025,-0.0027230080999997,-8.673617379884035e-19,-0.001861121631400259,-4.916140283434137e-06,-0.0002546695930630005,-0.00045540169731683104,0.0008755184830529191,-0.0012738190809886483,1.5161463551566469e-05,0.0003950529206971016,0.00033190521325568385,1.4757698650159486e-07,-0.0004908656144912994
0.003,-0.0014255080999996,2.168404344971009e-19,-0.0006550425399509211,-0.00026615927455042083,-0.00023436799113060963,-0.0001997536617732571,0.000981450954026604,-0.0013026847082011513,1.5953989304107667e-05,0.00039362980080094947,0.0003321742491315289,1.1662106757250114e-07,-0.0004908255387240025
0.0035,-0.0002900080999994,1.0842021724855044e-19,0.0002336250118195493,-0.00041904217583351583,-0.00016794773597773123,6.279775093508088e-05,0.0010744303041377624,-0.001324557958215976,1.6711549106132515e-05,0.0003922339363014195,0.000332440994737296,8.568179114505726e-08,-0.0004907854588005626
0.004,0.0018184919000004,2.168404344971009e-19,0.0017658208245256535,-0.00024207805751246716,-8.054550315941938e-05,0.0003137156946722442,0.00115035424102931,-0.0013390903266188828,1.7434766378955156e-05,0.0003908654314809654,0.00033270544480011,5.475921615067761e-08,-0.0004907453748122196
0.0045000000000000005,-0.0007765080999994,-6.505213034913027e-19,-0.0017147172647154958,0.0002851706232755607,9.453239025376871e-06,0.0005344633233022945,0.0012051204723441606,-0.00134593330899563,1.812426454388999e-05,0.00038952439062204,0.0003329675940470942,2.3853401522344636e-08,-0.0004907052868502131
0.005,0.0023049919000003,0.0,0.0008039768946501867,0.0005689873400968687,8.60887781355686e-05,0.0007065037906892942,0.0012346267057252312,-0.0013447380717146531,1.878033780492445e-05,0.00038821091800709726,0.0003332274372053725,-7.035593807272837e-09,-0.0004906651950057832
0.0055,0.0027919919000004,4.336808689942018e-19,0.0014595663701745922,0.00022796252618446393,0.00014439752506735802,0.0008113002506973038,0.0012347654713006236,-0.0013351492867602639,1.940196349673819e-05,0.00038692511791859057,0.0003334849690020685,-3.7907710905401436e-08,-0.0004906250993701697
0.006,-0.0006135080999994,-4.336808689942018e-19,-0.00120598075604348,-0.0005946028931259058,0.0002234003840660969,0.0008303158571903846,0.0012015390833725586,-0.0013169210810735669,1.9987789736684505e-05,0.00038566709463897344,0.0003337401841643058,-6.876289083958142e-08,-0.0004905850000346113
0.006500000000000001,0.0014939919000003,-6.505213034913027e-19,0.000722473812146869,-0.00040805745189852877,0.0003421299078205957,0.0007467796186620104,0.001132668397936751,-0.0012903243810143943,2.0536464642115786e-05,0.0003844369524506991,0.0003339930774192089,-9.960107467756209e-08,-0.0004905448970903487
0.007,0.0013314919000002,4.336808689942018e-19,-0.0001912360832338986,0.000553122281892639,0.0003912631882095103,0.0005554015233581515,0.0010308117343213591,-0.0012557606071759606,2.1046636448881147e-05,0.0003832347955177255,0.0003342436434939009,-1.3042220348604738e-07,-0.0004905047906286223
0.0075,0.0013319919000004,2.168404344971009e-19,0.0003624280787834406,0.0005153327692874768,0.00024402794237293784,0.0002765614840253755,0.0008998291541293102,-0.0012136311801514824,2.1516953999959276e-05,0.00038206072739688007,0.0003344918771155059,-1.612262183328912e-07,-0.000490464680740671
0.008,-0.0001275080999993,5.421010862427522e-20,0.00037981449148454113,-0.0002211209001320732,-7.241927436976915e-05,-4.000772562780025e-05,0.0007435807189635301,-0.0011643375205341762,2.1946066935984302e-05,0.00038091485084733507,0.0003347377730111476,-1.9201306028542466e-07,-0.000490424567517734
0.0085,-0.0019115080999992,2.168404344971009e-19,-0.00046731159984071804,-0.00044438993495641226,-0.00036561648546301455,-0.00033833950696108254,0.000565926490426944,-0.0011082810489172568,2.2332625783734262e-05,0.00037979726774211897,0.0003349813259079495,-2.2278267041066535e-07,-0.0004903844510510519
0.009000000000000001,-0.0006145080999995,-1.0842021724855044e-19,0.0004243912859284166,0.00039285164299737854,-0.0004401551369552944,-0.0005624672613341804,0.000370726530122478,-0.0010458631858939404,2.267528206895381e-05,0.0003787080789552934,0.0003352225305330357,-2.535349897764671e-07,-0.0004903443314318644
0.0095,-0.0014255080999996,0.0,-0.00039525391647192876,0.00042097947106911864,-0.00021637702923194365,-0.0006647051485414379,0.0001618408996530588,-0.0009774853520574437,2.2972688441555245e-05,0.00037764738423675244,0.0003354613816135302,-2.842699594504748e-07,-0.0004903042087514111
