t,S
0.0,0.028562247894315582
5e-05,0.029733741153336577
0.0001,0.0306039631861602
0.00015000000000000001,0.03144259488385592
0.0002,0.032616343635036904
0.00025,0.03311690896048142
0.00030000000000000003,0.03371648785388173
0.00035,0.03340989581927873
0.0004,0.032564669279456296
0.00045000000000000004,0.03332427496021583
0.0005,0.03227466019404289
0.00055,0.03156341938165122
0.0006000000000000001,0.029841611651198596
0.0006500000000000001,0.03171161976770988
0.0007,0.03274954375669497
0.00075,0.03272540281077026
0.0008,0.032259010047795036
0.0008500000000000001,0.031276060398421957
0.0009000000000000001,0.03287455368913973
0.00095,0.03560649033213895
0.001,0.03513635307286439
0.0010500000000000002,0.03280662792794026
0.0011,0.032679112989494635
0.00115,0.03516096455869486
0.0012000000000000001,0.033065600370863917
0.00125,0.03340335580232437
0.0013000000000000002,0.03346383889604059
0.00135,0.03479587687085172
0.0014,0.03535865476278077
0.0014500000000000001,0.03572680843718774
0.0015,0.03600054410733668
0.0015500000000000002,0.03640016618013612
0.0016,0.03536845118196719
0.00165,0.033796313166783415
0.0017000000000000001,0.03546841031504126
0.00175,0.033914627127556565
0.0018000000000000002,0.033642519814146565
0.00185,0.02789925010148807
0.0019,0.024619718738947284
0.0019500000000000001,0.015865270189402432
0.002,0.013984610379293404
0.00205,0.00978246166600023
0.0021000000000000003,0.00783592200888119
0.00215,0.009777765825769025
0.0022,0.007424314630418085
0.0022500000000000003,0.008798363548299328
0.0023,0.006273012869868366
0.00235,0.00774885150509767
0.0024000000000000002,0.005825123737054185
0.00245,0.005767674515136139
0.0025,0.005819216159040727
0.00255,0.004923332858752081
0.0026000000000000003,0.005767394681897749
0.00265,0.007426082825009507
0.0027,0.00435941781178944
0.0027500000000000003,0.00449137771307789
0.0028,0.0017564979510984458
0.00285,0.0003007093191653397
0.0029000000000000002,-0.00014450058946017738
0.00295,0.0017289234237515307
0.003,-0.0012768252739306582
0.00305,-0.0022879443038153705
0.0031000000000000003,-0.0009574133151542853
0.00315,-0.0008983304155226867
0.0032,0.0018064199926554562
0.0032500000000000003,0.0015611316094745007
0.0033,-0.0015803728838997
0.00335,-0.00017673300784512222
0.0034000000000000002,-0.00039978846926454203
0.0034500000000000004,-0.00022207937175143695
0.0035,-0.0012430482558877156
0.00355,-0.0014704727895599855
0.0036000000000000003,9.307599569270686e-05
0.00365,-1.4321712363821876e-05
0.0037,-0.0006303926976696864
0.0037500000000000003,-1.9675327749055574e-05
0.0038,-0.00161039763967194
0.00385,0.0011291485885708222
0.0039000000000000003,-1.4924561009318354e-05
0.00395,-0.00017268833088983186
0.004,0.0015632059232338139
0.00405,-0.0003270619903832737
0.0041,-0.000989854011187126
0.00415,-0.00030887968999059566
0.004200000000000001,-0.002509221068695595
0.00425,-0.00641812443128857
0.0043,-0.009085300401205773
0.004350000000000001,-0.016542267559112325
0.0044,-0.019852638755555613
0.00445,-0.023261584819763762
0.0045000000000000005,-0.024185060341901977
0.00455,-0.026295982720676167
0.0046,-0.027024706771172753
0.0046500000000000005,-0.028876762154886715
0.0047,-0.02916628267795573
0.00475,-0.03064274463885418
0.0048000000000000004,-0.03001366819439473
0.00485,-0.03153420727918899
0.0049,-0.03034819220967287
0.00495,-0.030783266855436316
0.005,-0.030130727421981307
0.005050000000000001,-0.029312215694627733
0.0051,-0.030180550104506126
0.00515,-0.029575995629616394
0.005200000000000001,-0.02906744456058949
0.00525,-0.031291423198593474
0.0053,-0.03017711684914262
0.005350000000000001,-0.030599702072223286
0.0054,-0.031281599173260205
0.00545,-0.03206244328618904
0.0055000000000000005,-0.0310999863920692
0.00555,-0.03352824345420963
0.0056,-0.031932472839715995
0.0056500000000000005,-0.030948415378173173
0.0057,-0.029693769509246674
0.00575,-0.03075927990164943
0.0058000000000000005,-0.029257333810104418
0.00585,-0.03147376215360017
0.0059,-0.030594721858812207
0.00595,-0.03187097542293634
0.006,-0.03149124566723301
0.006050000000000001,-0.03172740114147303
0.0061,-0.03153757151162803
0.00615,-0.029761470343537565
0.006200000000000001,-0.02935131189511319
0.00625,-0.03011508221895027
0.0063,-0.02850607683102197
0.006350000000000001,-0.02670218298805346
0.0064,-0.027793374804698172
0.00645,-0.029297820870833997
0.006500000000000001,-0.030269942863016312
0.00655,-0.027228328198954044
0.0066,-0.028930658954806125
0.0066500000000000005,-0.03178150801021004
0.0067,-0.03156139145561482
0.00675,-0.027103658871415005
0.0068000000000000005,-0.02876926365787342
0.00685,-0.026421934702216
0.006900000000000001,-0.026628098812296983
0.0069500000000000004,-0.025077186554712506
0.007,-0.02703944726471414
0.007050000000000001,-0.026140943561142764
0.0071,-0.024393327787713647
0.00715,-0.02454866357724893
0.007200000000000001,-0.023327604308120323
0.00725,-0.02149567159698399
0.0073,-0.022040688636369175
0.007350000000000001,-0.02142722716575563
0.0074,-0.020957828942559452
0.00745,-0.02097930649093213
0.007500000000000001,-0.021432917680927147
0.00755,-0.019817800164816903
0.0076,-0.01706783856770215
0.0076500000000000005,-0.01735326711349346
0.0077,-0.01674714731786255
0.00775,-0.015560970825877355
0.0078000000000000005,-0.014751401521933287
0.007850000000000001,-0.013244366887831392
0.0079,-0.014751801708705724
0.00795,-0.01267446883433974
0.008,-0.012048630293837539
0.00805,-0.01001370193952075
0.0081,-0.00810678437954082
0.008150000000000001,-0.0071979348286104645
0.0082,-0.0045923060001386105
0.00825,-0.005209448158286672
0.0083,-0.004408501854114394
0.00835,-0.003291899930799617
0.008400000000000001,-0.0029829285015049393
0.008450000000000001,-0.0023336794307862244
0.0085,-0.0036074483266275454
